organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,dataid,dataname,datacode,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Total
i5xqkKYKNci,Jamji Dispensary,14592,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,8,10,23,,22,20,22,,22,,,127
a8sU1OkbQd2,Janeiro Nursing Home,21135,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,3,,,,,1,,4
JM72QVwNQhk,Jera Dispensary,13634,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,2,3,3,,,,,,,,,9
XN6yIZhe3bj,Jericho Health Centre,12988,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2,,,10,11,,15,,,,,,38
kZ1VUENMMCn,Jibana Sub District Hospital,11432,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,4,,,4,,8
ZEnaTQlPYZK,Jimba Dispensary,22766,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,,3,3
z3AgIssDxSc,Jirani Diagnostic Centre Machakos,21805,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,24,,,24,48
INawALMkXAS,JKUAT Hospital,10378,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,,,,2,1,,,,,,1,5
SiFad15yKhZ,JM Kariuki County Memorial Hospital (Olkalou),10916,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,14,11,3,,,15,8,10,9,3,9,82
OjKfyArZa2J,Jocham Hospital,11434,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,58,,,58
tiI9qrpW3VL,Johpas Clinic,13636,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,3,,,1,1,1,1,,,,7
H5Mn5QSE0CM,Joscare Medical Clinic,23309,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,14,4,18
s660dO8z7o6,Juja Farm Health Centre,10386,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,1,,,,,5,1,,,,7
lR6W5tK8hAq,Junda Dispensary,20491,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,6,,,,,,,6
GeQ8joSYNcm,Kaanwa Dispensary,12119,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,4,,,4
l6jqUUJvImb,Kabarak Health Centre,14606,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,1,,,1,5,7
KmYG2XJfp6W,Kabianga Health Centre,14613,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3,,5,,,10,4,10,5,,3,4,44
JTzEgarJilV,Kabichbich Health Centre,14615,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,2,2,6,,,,10
Zzn7r9ALZIk,Kabiemit Dispensary (Mosop),14618,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,3,,3,,4,,,10
N20zYMSUtas,Kabirirsang Dispensary,14630,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,3,89,92,,,,,,,,,184
XzKZTSICokw,Kabiyet Sub County Hospital,14623,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,22,,,22
t68YwvegZ4I,Kabondo Sub County Hospital,13638,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,,,,,,,,,,,,1
fMFsmycdb6z,Kaboson Health Centre,14628,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,52,,,,58,,,,,,110
OOXFr1NfIlA,Kabuchai Health Centre,15911,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,2,3,2,2,2,,,,4,15
S1i3cmxCbgX,Kabula Health Centre,15912,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2,7,,3,,3,,,,,,,15
FeUHA7ixSA6,Kabura Uhuyi Dispensary,17531,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,,1,1
WLvYlxbdgy7,Kabutii-Matiret Dispensary,14633,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3,1,2,1,2,1,2,,,1,2,,15
WDe0umtdbif,Kabuto Dispensary,13639,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,2,1,1,,,,4
oGOpu3nlItw,Kacheliba Sub County Referral Hospital,14634,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,3,13,5,,,,,,,21
Z7ruKy2DyTa,Kadem Tb & Leprosy Dispensary,13640,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,1,,,,2,,,1,,,4
iAuQRWVoRpK,Kadenge Ratuoro Health Centre,13641,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,,3,3
My0xFBJaM5c,Kadinda Health Centre,16283,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,2,4,,,,,2,,,,2,11
K4FWeDZV2o0,Kaelo Dispensary,17381,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,3,2,4,,,3,2,3,,17
L3Cj0eucYCp,Kagumo Health Centre,10402,Kagumo market off Kerugoya/Karatina road,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,5,,5
dtRiIn99llQ,Kahawa West Health Centre,12997,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,8,7,8,,7,,30
q6NwSRm7CoV,Kahembe Health Centre,10419,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,4,,,4
MDeK1JwZtsM,Kaibei Dispensary,14639,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,1,1,2,1,5,4,1,15
xNQuM1wTWrJ,Kaiboi Mission Health Centre,14640,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,36,83,,85,,,,78,78,,,,360
NsOtD5QOM4t,Kairuri Health Centre,12130,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,2,,,1,1,4
E5KIT8GkN4q,Kajiado (AIC) Dispensary,14650,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,7,,,11,13,,6,12,49
tGLKciw2MGf,Kajiado County Referral Hospital,14652,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,9,5,16,5,35
kWzAmRGUHal,Kakamega Forest Dispensary,15914,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,3,4,2,3,1,2,,2,3,,,20
RUhEEE3keZi,Kakeani Health Centre,12134,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,4,,,,4
Wj1gBKsF1lB,Kakuma Mission Hospital,14655,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,,6,6
zAPJPYf65xo,Kakuyuni Health Centre,16433,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,2,,,,1,4,7
e7MYm1LjA3C,Kalaacha Dispensary,14657,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,1,,,2,,,,,,,3
sVmlP6GIQmS,Kalalu Dispensary,14659,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,2,,,,,2
SkQZUBdlpnz,Kalamba (AIC) Dispensary,17431,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,2,2,,,,,,,,4
JeuBdNUUREJ,Kalimoni Mission Hospital (Juja),10438,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,4,2,32,,3,14,,,10,,,65
N636nMR9Hsh,Kalokol (AIC) Health Centre,14663,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,31,2,33
h30PQ7TRRWD,Kaloleni Dispensary,12998,Operational,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,5,6,,,,,,3,,,,,14
xhfTwAI9TDu,Kalulini Health Centre (Kibwezi),12156,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,,1,1
cgGKqOQ5YLB,Kambajo Dispensary,13651,level 2 facility in maranda division,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,1,,4,,9,,,,14
s11x854JKz0,Kambandi Dispensary,12162,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,2,,,,,2
Qv92hTqycLz,Kambi Ya Waya Dispensary,20771,OPERATIONAL,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,1,,,,,,1
qknYkm1vsuY,Kambiri Health Centre,15916,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3,,,,,,,1,,,,,4
QUEf4kJAS00,Kambu Catholic Dispensary,11962,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,6,,,,2,3,3,2,2,3,1,8,30
ec7ckAJP9J8,Kambu Sub County Hospital,18596,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,3,,,,,,,,3,6
BpupuJNnQGM,Kamukuywa Dispensary,18346,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,3,,,,,,,,,,3
NCEgLpQqqXx,Kamuwongo Health Centre,12169,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,1,1,1,,,,,4,,3,,10
lnxSW2jBvnL,Kamwingi Dispensary,14679,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,2,2,,3,,2,,9
y3pJobALcY5,Kamwosor Sub County hospital,14680,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,6,1,,,2,,,,4,3,2,,18
ZZujQQAMYSq,KANCO DIC Kakamega,21802,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,1,,,,,,,,1
ESoLRozyeZs,Kanco Wellness Centre Mariakani,22024,Located at Salim Awadh 1st floor door 105 and 106 Mariakani,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,5,,,,,,,2,,,,,7
VdAAkjhq6Fk,Kandara sub county hospital,10459,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,17,18,,,11,,2,4,1,4,7,,64
E8uyiuF3BqN,Kandege Dispensary,13652,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,1,,2,,,,,,,3
xAqqRiXjUW3,Kandiege Sub-District Hospital,13653,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,5,,10,,,,,,,15
v3wxgh8Do9U,Kangaru Dispensary (Kirinyaga),10468,Kagio town-off Sagana/Kutus road,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,9,,,,,4,,13
y42Usl6TdyJ,Kangemi Health Centre,13001,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,1,,1
P8adKzBQMxY,Kangir Dispensary,20169,Dispensary,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,4,,,,,,,,,,,4
F9IW97vowsp,Kangundo Sub county Hospital,12177,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,4,,,,,,,,,9,,13
bPZ69knb5B8,Kanjinji Dispensary,10436,Kimbimbi/Murinduko Road,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,1,,1
OhVOBYmtprM,Kanyagwal Dispensary,13654,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,3,,,,,3
fKR3N7cmgQl,Kanyakine District Hospital,12181,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,38,,,,,38
lYQGgd4vdRL,Kanyangi Sub County Hospital,12184,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,1,,,,,,,,,,1
R41QQ3YpoYu,Kanyuambora Dispensary,12185,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,2,,,,,,,,,,,2
pKwQQQX1kLw,Kanziku Health Centre,12190,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,2,2,2,,4,,,,10
WjEssqA66dw,Kapcherop Health centre,14695,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,7,7,,2,6,6,,,,,,28
FabEx0uwlU4,Kapenguria County Referral Hospital,14701,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,179,188,189,190,162,157,1065
nw9YVA9Tx6R,Kapiyo Health Centre,13655,level 3 facility in maranda,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,1,,,,,1
cqhuJyqvQEI,Kapkangani Health Centre,14704,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,12,431,,11,2,,,456
xq0lRpKYnEm,Kapkateny Dispensary,15922,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,1,,,,,,,,1
SofFIp5ILCw,Kapkoros Sub-county hospital,14728,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,13,,5,7,10,28,5,,,,6,13,87
BsRAEfmFfM3,Kapkures Health Centre (Nakuru west),14733,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,1,2,,,,,,,3
DZ6jQqCN4Zo,Kaplamai Health Centre,14734,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,3,,,,,,,,,3
Epg5CqAuaHn,Kaplong Hospital,14741,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,4,113,117
P4bWQeI57XU,Kapsara Sub County Hospital,14753,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,7,,,7
syjqhftfG5l,Kapsowar (AIC) Hospital,14767,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,1,1,1,2,5
WmVkqxdy4xB,Kapsoya Health Centre,14769,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,4,9,14,23,28,33,34,36,47,45,50,44,367
pIRUamww2Tr,Kaptama Health Centre,22508,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,4,,7,7,,11,12,1,13,,,56
ZgIQK8SUYZN,Kapteldon Health Centre,14779,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,3,3,,6,,,,16,18,20,,66
x7ruP7fXiZQ,Kapteren Health Centre,14781,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,,1,1
ev7vSNwz1Gm,Kaptisi Dispensary,16457,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,1,,4,2,7
c5oIJVPmQ7m,Kapyemit Dispensary,14799,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,1,,1
am3tU3bLhO8,Karama Health Centre,12195,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,1,3,2,,1,,,,,7
bLeCBUFM3wP,Karatina Sub-county Hospital,10485,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,16,,9,25
vzZ53lAMdJp,Karatu health centre,10489,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,2,,,,,,,,,,,,2
pvtkOPp8UE4,Karau Health Centre,12198,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,1,,,,,1
Waoec9qt8ol,Karima Dispensary (Bungoma),15927,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,1,3,4,,2,,3,2,,,3,18
EEKdchSCqh9,Kariobangi EDARP,18743,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,19,6,4,8,5,9,4,3,9,2,1,5,75
iBcBmbBexUS,Kariobangi Health Centre,13006,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,20,11,,17,,17,5,,4,74
tlOLq1sNrig,Kariobangi South Clinic,17434,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,4,,,,4
kjk57sOcpCK,Karunga Health Centre,14805,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,2,,,,,2
NRf14PUD9xc,Karungu Sub-County Hospital,13656,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3,9,5,6,,5,,,1,1,,15,45
Pa9tT2RsExD,Karuoth Dispensary,17533,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,1,,,2,,,,3
JQnQJCpt8av,Karura Health Centre,13009,Located along Kiambu Road,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,3,2,,1,,,2,,5,2,5,20
zYFy90m10i1,Karuri Level 4 Hospital,10507,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,1,,1,1,3,,,2,2,,1,11
tgcsqKSppEP,Kasaala Health Centre,12204,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,2,,,,,2
FGeEpfWlpMJ,Kasarani Health Centre,13010,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,6,2,1,,,,3,,,,,,12
MGOxlVHWhrP,Kasarani Maternity,13011,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,7,6,,,,,,,,,13
hJhI78dHfsd,Kasewe Health Centre,20153,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,6,,8,8,,,,,,,22
EUJpFi9eVHO,Kasikeu Health Centre,12208,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,3,,,,,,,,3
LT6XGXS57II,Kasuku Health Centre,10509,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,1,2,,3
hiLD4yCxIAC,Katakani Dispensary,12213,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,1,1,,,,1,,3
GPXXnUS62UB,Katangi Health Centre,12215,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,3,5,6,4,6,3,,2,29
hORllbg4SRu,Katani Dispensary,12217,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,,,,,,2,2,,,,,5
jSOWQUkhPVF,Kathangacini Dispensary,12222,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,,2,2
p6OOqwGbiA0,Kathiani Sub County Hospital,12230,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,2,31,,2,35
G9Fbh4fc5zU,Kathonzweni Health Centre,12236,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,6,,,6
BAtfedDlU9v,Katilini Health Centre,12241,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,1,,,2,,,,,,3
CZEFya4R7Q9,Katolo-Manyatta Dispensary,18421,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,3,1,3,,2,1,4,1,15
VgkdbpChtIJ,Katulani Sub County Hospital (Kitui),16991,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3,,,,,,6,2,6,3,2,7,29
S4GqmehPtUY,Katyethoka Health Centre,12251,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,4,4,3,3,3,,,,,17
lCVPvilzEK3,Kayaya Dispensary,16710,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,2,,,,,,,,,,2
wWnSMqLNWOk,Kayole I Health Centre,13015,Off Kangundo Road,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,20,3,3,10,11,5,12,4,,5,2,8,83
W9Yb3HlYhsB,Kedowa Dispensary,14824,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,6,,,,9,,,,12,27
NoZjHcIDHGW,Kegonga Sub County Hospital,13663,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,1,2,2,,2,,,1,8
dwu3NQizNkT,Kehancha Sub-County Hospital,13726,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,1,,,4,12,,3,,,6,12,13,51
arsnCibtzLl,Keiyo Dispensary,19752,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,4,,,,,,,,,,,4
zAs4m0LzAxE,Kemeloi Health Centre,14825,12km East of Serem Market alongKobujoi Serem road.,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,1,,,,1
ide1oUojpWU,Kemri VCT,13019,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,1,,6,,13,4,4,6,,,34
EhJ2SBfPRSW,Kendu Adventist Hospital,13667,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,7,,8,2,,9,8,5,,7,14,20,80
lobiB7sMHcN,Kendu Sub-District Hospital,13668,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,7,,,,,3,2,,,12
d78UcfovIJh,Kenya Police College Dispensary,10517,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,1,,,,1
ZWwPSTkiLWX,Kenyatta National Hospital,13023,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,91,47,24,25,14,201
tKlvNnIuqxp,Kenyatta University Dispensary,13024,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,3,,,,6,1,,,,,,,10
tLkJI8eWdZu,Kenyatta University Teaching Refferal and Research Hospital,24979,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,5,5,,,,1,,4,7,9,,31
IgrMpQRUx5y,Kericho County Referral Hospital,14831,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,,1,1
g7xqdKIgNEW,Kericho GK Prisons Medium Dispensary,18616,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,35,38,38,9,120
eJUE6DjzQZr,Keringet Health Centre,14837,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,1,,,,,,,,,,,1
SFjMLzXWaWY,Kesses Health Centre,14841,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,34,36,38,42,39,58,61,63,65,38,90,71,635
sgKiVsxPcyB,Keumbu Sub County Hospital,13680,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,4,,4
r5bAjjkOcRq,Khalaba Health Centre,15931,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,1,,11,,,,,,,,,12
tqOO4WrOA1L,Khalala Dispensary,18362,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,12,,,,,,,,,,12
OwaQqvBExjF,Khasoko Health Centre,15935,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,1,,,,1
TJnBh1U3GEs,Khunyangu Sub County Hospital,15939,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,19,,19
kyuG50xCh7R,Khwisero Level IV Hospital,15940,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,,24,24
xDYrSeSD4g7,Kiambere Health Centre,16465,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,1,1,2,1,2,,1,8
X3m67s9fYES,Kiambu County Referal Hospital,10539,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,27,30,35,36,25,25,21,16,24,20,9,27,295
tZI3qaQTpAr,Kiamokama Health Centre,13683,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,2,1,3
ba63sP0ArOy,Kiandutu Health Centre,16814,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,6,,,,,,,,,,,6
BtwDZaEdUuW,Kiangai Health Centre,10556,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,1,,1
TpILSUucrQK,Kiangondu Dispensary,12277,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,37,,,,,,,,1,,,3,41
MxxUSfpmXEr,Kianjokoma Sub-District Hospital,12279,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,1,,,,,,,,,1
ZxtXqRoon59,Kianungu Dispensary,23198,,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,21,,,,21
pmQ2ac5Xxe9,Kiaragana Dispensary,10566,Kiaragana shopping cenre- off Kerugoya/Karatina highway,IqkEA3etj2f,MOH 731 Completed IPT_12months HV03-066,Y18_HV03-066,,,,,,,,,,,,1,1
