uid,mflcode,facility,level,ward,subcounty,county
SDsSjTkZrZ9,14511,Gilgil Military Regional Hospital,5,Gilgil Ward,Gilgil Sub County,Nakuru County
BlfBnS88vK8,14551,Flamingo Medical Centre,5,Olkaria Ward,Naivasha Sub County,Nakuru County
pzJpvzpdQbr,15241,Mt Longonot Hospital,5,Viwandani Ward,Naivasha Sub County,Nakuru County
K3sb7B55lr7,15483,Rhein Valley Hospital,5,Mbaruk/Eburu Ward,Gilgil Sub County,Nakuru County
d0SjYcU0e3B,15559,Karuturi Hospital,5,Olkaria Ward,Naivasha Sub County,Nakuru County
Ohe5HjRN8PF,15654,St Mary's Hospital,5,Gilgil Ward,Gilgil Sub County,Nakuru County
XsRFIn0FhzA,15834,Busia County Referral Hospital,5,Burumba Ward,Matayos Sub County,Busia County
TJnBh1U3GEs,15939,Khunyangu Sub County Hospital,5,Kingandole Ward,Butula Sub County,Busia County
aMTxgqDmizK,15823,Bumala A Health Centre,5,Marachi West Ward,Butula Sub County,Busia County
nuEpF1eboYN,15824,Bumala B Health Centre,5,Marachi East Ward,Butula Sub County,Busia County
yFrzItHccVH,15838,Butula Mission Health Centre,5,Marachi North Ward,Butula Sub County,Busia County
VuP1KLi79Bn,15975,Lupida Health Centre,5,Bukhayo North/Walatsi Ward,Nambale Sub County,Busia County
MMUERdrmeNC,13282,Alinjugur Health Centre,5,Jarajila Ward,Fafi Sub County,Garissa County
FsnJ5V1XM13,13288,Amuma Dispensary,5,Jarajila Ward,Fafi Sub County,Garissa County
gQeEbhqx7i0,13289,Amuma Mobile Dispensary,5,Fafi Ward,Fafi Sub County,Garissa County
bZiI2sy8cgT,13338,Fafi Dispensary,5,Fafi Ward,Fafi Sub County,Garissa County
ysygmWJdzuU,13339,Bura District Hospital,5,Bura Ward,Fafi Sub County,Garissa County
HSAA09SDTKi,13342,Galmagalla Health Centre,5,Dekaharia Ward,Fafi Sub County,Garissa County
CQVjuMqRmMm,16706,Bokoli Base Clinic,5,Bokoli Ward,Webuye West Sub County,Bungoma County
tHvPXKLObim,13359,Hagadera Hospital,5,Fafi Ward,Fafi Sub County,Garissa County
IJ8MPsbQ4SA,13378,Kamuthe Health Centre,5,Nanighi Ward,Fafi Sub County,Garissa County
L7s7lF6nv95,15808,Bokoli Hospital,5,Bokoli Ward,Webuye West Sub County,Bungoma County
qbpQrf6dZvs,13405,Mansabubu Health Centre,5,Bura Ward,Fafi Sub County,Garissa County
vZrdvcHFNHt,13413,Nanighi Health Centre,5,Nanighi Ward,Fafi Sub County,Garissa County
yH2czLnTcDi,16708,Highway Medical Clinic (Bungoma East),5,Mihuu Ward,Webuye East Sub County,Bungoma County
xTHNPMfTDIg,16709,Jaggery Medical Clinic,5,Mihuu Ward,Webuye East Sub County,Bungoma County
lCVPvilzEK3,16710,Kayaya Dispensary,5,Matulo Ward,Webuye West Sub County,Bungoma County
awNVSk5ZtGX,15932,Khalumuli Dispensary,5,Sitikho Ward,Webuye West Sub County,Bungoma County
bfiWYfkcaxW,17009,Abdisamad Dispensary,5,Sankuri Ward,Balambala Sub County,Garissa County
t6T4az63PGl,15933,Khaoya Dispensary,5,Ndivisi Ward,Webuye East Sub County,Bungoma County
NT6wwqpf4Li,13269,Afya Medical Clinic (Garissa),5,Township Ward,Garissa Sub County,Garissa County
GzJU2wkfa30,15965,Lugulu Friends Mission Hospital,5,Misikhu Ward,Webuye West Sub County,Bungoma County
n5d9Sao4gcf,13274,Al-Aqsa Medical Clinic,5,Township Ward,Garissa Sub County,Garissa County
nYs862A5uon,13275,Al-Faruq Dispensary,5,Waberi Ward,Garissa Sub County,Garissa County
gTcbEUxmHuM,13279,Al-Hilal Clinic,5,Township Ward,Garissa Sub County,Garissa County
bX2Nmm72gbh,13284,Al-Maqdis ENT Clinic,5,Township Ward,Garissa Sub County,Garissa County
pTOFZPQoDnA,13298,Balambala Sub-District Hospital,5,Balambala Ward,Balambala Sub County,Garissa County
zguJ8J2gx2C,13299,Balich Dispensary,5,Sankuri Ward,Balambala Sub County,Garissa County
aX2ThTzHWkV,13309,Bolimoog Clinic,5,Township Ward,Garissa Sub County,Garissa County
SeSNXZyUdeO,13311,Bour-algy Dispensary,5,Iftin Ward,Garissa Sub County,Garissa County
pdeMZ763jZ6,17011,Bulla Mzuri Dispensary,5,Waberi Ward,Garissa Sub County,Garissa County
MWFpSslSbQ4,13319,Daley Dispensary,5,Saka Ward,Balambala Sub County,Garissa County
kc0FAAQMCLy,13324,Danyere Health Centre,5,Danyere Ward,Balambala Sub County,Garissa County
BlPILCfO7Xh,13326,Dertu Medical Clinic,5,Township Ward,Garissa Sub County,Garissa County
RJoY8CWjrp9,13331,Dujis Health Centre,5,Balambala Ward,Balambala Sub County,Garissa County
OQ6NTabGo14,13336,Excel Health Services,5,Township Ward,Garissa Sub County,Garissa County
t3cvedAnAuJ,13345,Garissa Nursing Home,5,Township Ward,Garissa Sub County,Garissa County
eOwcPUHIpgE,13346,Garissa County Referral Hospital,5,Waberi Ward,Garissa Sub County,Garissa County
NJapubNuu8k,13350,GK Prison Dispensary (Garissa),5,Township Ward,Garissa Sub County,Garissa County
VtysEcYI1fV,13354,Guled Clinic,5,Township Ward,Garissa Sub County,Garissa County
n3Rk1xF8GVA,13367,Ifmaho Medical Clinic and Laboratory,5,Waberi Ward,Garissa Sub County,Garissa County
JF7ph88WL8k,13263,Iftin Medical Clinic And Lab Services,5,Iftin Ward,Garissa Sub County,Garissa County
tePBgYiNwml,13369,Iftin Sub-District Hospital,5,Iftin Ward,Garissa Sub County,Garissa County
q9MR60x4gLm,13373,Islamic Relief Agency,5,Township Ward,Garissa Sub County,Garissa County
paXJVpz9TOS,13376,Jarajara Dispensary,5,Jarajara Ward,Balambala Sub County,Garissa County
V0Wh2NxXpeP,13382,Korakora Health Centre,5,Iftin Ward,Garissa Sub County,Garissa County
zsQT0QjLx1K,16288,Libahlow Nomadic Clinic,5,Danyere Ward,Balambala Sub County,Garissa County
Y2bOKooRPaH,13408,Medina Health Centre,5,Galbet Ward,Garissa Sub County,Garissa County
fyLoVZ0U7xq,13420,Police Line Dispensary (Garissa),5,Township Ward,Garissa Sub County,Garissa County
SjnJ45W6QQO,13422,Raya Dispensary,5,Sankuri Ward,Balambala Sub County,Garissa County
wckIZmyWgBj,13443,Shimbrey Dispensary,5,Sankuri Ward,Balambala Sub County,Garissa County
LTNjkCReYTz,13444,Sunnah Medical Clinic (Garissa),5,Galbet Ward,Garissa Sub County,Garissa County
IXzafxurg0o,13454,Wananchi Medical Clinic (Garissa),5,Township Ward,Garissa Sub County,Garissa County
lSqQNspMLuC,16658,Women Care Clinic,5,Iftin Ward,Garissa Sub County,Garissa County
zVNkTlODm6x,13458,Young Muslim Dispensary,5,Iftin Ward,Garissa Sub County,Garissa County
cpNMayTpvGJ,13460,Zakma Medical Clinic,5,Waberi Ward,Garissa Sub County,Garissa County
SD8zbK9C7ds,13308,Bodhai Dispensary,5,Sangailu Ward,Hulugho Sub County,Garissa County
sx0F3tF3i6G,16285,Bultohama Dispensary,5,Sangailu Ward,Hulugho Sub County,Garissa County
mFCdD8GzFQC,16659,Furqan Dispensary,5,Masalani Ward,Ijara Sub County,Garissa County
z6QPL6JupY7,13360,Handaro Dispensary,5,Sangailu Ward,Hulugho Sub County,Garissa County
svtB9YP3rCv,13361,Hara Health Centre,5,Masalani Ward,Ijara Sub County,Garissa County
mxtjFO8r7R6,13365,Hulugho Sub County Hospital,5,Hulugho Ward,Hulugho Sub County,Garissa County
OPySfmfo9TA,13374,Jalish Dispensary,5,Sangailu Ward,Hulugho Sub County,Garissa County
AadLaV4ti7l,13383,Korisa Dispensary,5,Masalani Ward,Ijara Sub County,Garissa County
Bwz5zH61tEX,13426,Ruqa Dispensary,5,Ijara Ward,Ijara Sub County,Garissa County
edjfwbsoTLn,17012,Alikune Dispensary,5,Abakaile Ward,Dadaab Sub County,Garissa County
rdDj0xud8Bp,16289,Baraki Dispensary,5,Baraki Ward,Lagdera Sub County,Garissa County
N6JAq2xtuW7,13305,Benane Health Centre,5,Benane Ward,Lagdera Sub County,Garissa County
vzn9TIgroz5,13316,Dadaab Sub-County Hospital,5,Dadaab Ward,Dadaab Sub County,Garissa County
m34O0EASO4h,16809,Dal-Lahelay Nomadic Clinic,5,Maalamin Ward,Lagdera Sub County,Garissa County
H8YbwIaOAAt,13320,Damajaley Dispensary,5,Damajale Ward,Dadaab Sub County,Garissa County
JTyc3EykOEv,13327,Dertu Health Centre,5,Dertu Ward,Dadaab Sub County,Garissa County
nUrZ9LlaEsm,16290,Eldere Dispensary,5,Modogashe Ward,Lagdera Sub County,Garissa County
VIxTzJOTQLe,13356,Gurufa Dispensary,5,Sabena Ward,Lagdera Sub County,Garissa County
fTrYkm9xOD3,13386,Kulan Health Centre,5,Liboi Ward,Dadaab Sub County,Garissa County
J2nSU1CrG7s,16952,Kumahumato Dispensary,5,Abakaile Ward,Dadaab Sub County,Garissa County
weyYbGwh5nK,13398,Liboi Health Centre,5,Liboi Ward,Dadaab Sub County,Garissa County
vlk5JxwSStB,13411,Modogashe Hospital,5,Modogashe Ward,Lagdera Sub County,Garissa County
rtFDOAqWUPQ,13434,Saretho Health Centre,5,Abakaile Ward,Dadaab Sub County,Garissa County
JxKJGtLOn6g,13438,Shantaabaq Health Centre (Lagdera),5,Goreale Ward,Lagdera Sub County,Garissa County
dyG9zMnv7fD,13294,Ashabito Health Centre,5,Ashabito Ward,Mandera North Sub County,Mandera County
gHFF7a2a54N,13310,Bore Hole 11 Health Centre,5,Kutulo Ward,Kutulo Sub County,Mandera County
bHL55bflvET,16443,Wargadud Nomadic Clinic,5,Wargudud Ward,Mandera South Sub County,Mandera County
cpmUjkUfMqG,13335,Elwak District Hospital,5,Elwak North Ward,Mandera South Sub County,Mandera County
RUuG5QEv6pU,13341,Fincharo Dispensary,5,Shimbir Fatuma Ward,Mandera South Sub County,Mandera County
tNpT77xOcjl,16444,Garsesala Dispensary,5,Kutulo Ward,Kutulo Sub County,Mandera County
TtnkVJt82Qt,13348,Girissa Dispensary,5,Rhamu Ward,Mandera North Sub County,Mandera County
r1ehc07JKNG,17007,Guticha Dispensary,5,Guticha Ward,Mandera North Sub County,Mandera County
luy72TyYfW5,17030,Kalicha Dispensary,5,Rhamu Dimtu Ward,Mandera North Sub County,Mandera County
PcqBHxKIN7h,13388,Kotulo Health Centre,5,Kutulo Ward,Kutulo Sub County,Mandera County
LIiHSSrrwEj,13414,Ollo Health Centre,5,Guticha Ward,Mandera North Sub County,Mandera County
PK41JfdNIjz,13423,Mandera North Sub County Hospital,5,Rhamu Ward,Mandera North Sub County,Mandera County
fu30kCMEUYr,13424,Rhamudimtu Health Centre,5,Rhamu Dimtu Ward,Mandera North Sub County,Mandera County
YLqChVrbVG7,13440,Shimbir Fatuma Health Centre,5,Shimbir Fatuma Ward,Mandera South Sub County,Mandera County
RJjoDh94PmR,13455,Wargadud Health Centre,5,Wargudud Ward,Mandera South Sub County,Mandera County
xosFdsIGIVn,13456,Yabicho Health Centre,5,Rhamu Dimtu Ward,Mandera North Sub County,Mandera County
jKZIre1ICst,13287,Al-Siha Nursing Home,5,Township Ward,Mandera East Sub County,Mandera County
lhvuAc9Sgyu,13290,Arabia Health Centre,5,Arabia Ward,Mandera East Sub County,Mandera County
DnaCTWYnwnf,16297,Banadir Clinic,5,Township Ward,Mandera East Sub County,Mandera County
Gj6rfEeSe5I,16311,Bismillahi Medical Clinic,5,Township Ward,Mandera East Sub County,Mandera County
mFx8PxZLvvT,13307,Blue Light Nursing Home,5,Township Ward,Mandera East Sub County,Mandera County
CrYDpw7MccF,16811,Bp1 Dispensary,5,Neboi Ward,Mandera East Sub County,Mandera County
xTh8putqWWS,16313,Buruburu Dispensary,5,Neboi Ward,Mandera East Sub County,Mandera County
ZbhvoE15lRT,16307,Drugmart Medical Clinic,5,Township Ward,Mandera East Sub County,Mandera County
P1RImTUT9kJ,13340,Fino Health Center,5,Fino Ward,Lafey Sub County,Mandera County
TuFK9gPsHo3,13362,Hareri Dispensary,5,Khalalio Ward,Mandera East Sub County,Mandera County
eOcpcboxzKQ,13379,Khalalio Health Centre,5,Khalalio Ward,Mandera East Sub County,Mandera County
HZHPAibW1iN,16293,Lafey Nomadic Dispensary,5,Alungo Gof Ward,Lafey Sub County,Mandera County
zh4Vf7BSOrP,13392,Lafey Sub-County Hospital,5,Lafey Ward,Lafey Sub County,Mandera County
NcOb0qCK34k,13396,Libehiya Dispensary,5,Arabia Ward,Mandera East Sub County,Mandera County
jqrGlRD2MbV,13402,Mandera County Refferal Hospital,5,Neboi Ward,Mandera East Sub County,Mandera County
lPnSCubFVlG,13403,Mandera Medicare Nursing Home,5,Township Ward,Mandera East Sub County,Mandera County
KEroL568tPp,16812,Neboi Dispensary,5,Neboi Ward,Mandera East Sub County,Mandera County
IVboDg0zsBe,16300,Rowla Medical Clinic,5,Township Ward,Mandera East Sub County,Mandera County
z9mcL4oc6Ws,16304,Sunrise Medical Clinic (Mandera East),5,Township Ward,Mandera East Sub County,Mandera County
LTmsDXQHkqT,16813,Warankara Health Centre,5,Waranqara Ward,Lafey Sub County,Mandera County
fjWbG8ESObj,17035,Burduras Health Centre,5,Gither Ward,Mandera West Sub County,Mandera County
bZxMmgQRCUn,13323,Dandu Health Centre,5,Dandu Ward,Mandera West Sub County,Mandera County
efB1pCkQL0b,13349,Gither Dispensary,5,Gither Ward,Mandera West Sub County,Mandera County
ErBiK473y5e,13353,Guba Dispensary,5,Guba Ward,Banissa Sub County,Mandera County
T0EU2sbR4MX,17008,Health Bridge Medical Clinic,5,Takaba Ward,Mandera West Sub County,Mandera County
iIRJ82mxKgX,13381,Kiliweheri Health Centre,5,Kilwehiri Ward,Banissa Sub County,Mandera County
bxLmKCtMU4e,13445,Mandera West Sub County Hospital,5,Takaba Ward,Mandera West Sub County,Mandera County
U8CEFUuQcQa,16314,Takaba Nomadic Mobile,5,Takaba Ward,Mandera West Sub County,Mandera County
ynVXQPsTDrH,13268,Africa Inland Church Dispensary,5,Wagberi Ward,Wajir East Sub County,Wajir County
ODRJUwfTLvk,13270,Afya Medical Clinic and Nursing Home (Wajir East),5,Township Ward,Wajir East Sub County,Wajir County
f4kUKm6boGh,13276,Al-Furaqan Clinic,5,Township Ward,Wajir East Sub County,Wajir County
KHiYEiiOULw,13278,Al-Haqq Medical Clinic,5,Township Ward,Wajir East Sub County,Wajir County
il9cndRb7vt,13281,Alimaow Health Centre,5,Township Ward,Wajir East Sub County,Wajir County
KOP1PjuP70T,13292,Arbaqueranso Dispensary,5,Khorof/Harar Ward,Wajir East Sub County,Wajir County
nPdaws1LFph,13301,Barwaqo Clinic,5,Barwago Ward,Wajir East Sub County,Wajir County
Tlx5XPvYrNV,13302,Barwaqo Dispensary,5,Barwago Ward,Wajir East Sub County,Wajir County
WQBUBXxXVe5,11289,Coast General Teaching and Referral Hospital,5,Tononoka Ward,Mvita Sub County,Mombasa County
xFwky80rnjq,11393,Shimo La Tewa Annex GK Prison Dispensary,5,Shanzu Ward,Kisauni Sub County,Mombasa County
gvaEWrl758j,11395,Shimo-La Tewa Health Centre (GK Prison),5,Shanzu Ward,Kisauni Sub County,Mombasa County
lvOFSMPRerh,11397,Shimo Borstal Dispensary,5,Shanzu Ward,Kisauni Sub County,Mombasa County
uhgE1vWtGKj,11303,King'orani Prison Dispensary,5,Shimanzi/Ganjoni Ward,Mvita Sub County,Mombasa County
XNC30RIDLbz,11223,Tononoka Ap Dispensary (Tononoka),5,Tononoka Ward,Mvita Sub County,Mombasa County
ckvRzmsUore,11203,Aga Khan Hospital (Mombasa),5,Shimanzi/Ganjoni Ward,Mvita Sub County,Mombasa County
aiD3lzUJBTy,11208,Al Farooq Hospital,5,Tononoka Ward,Mvita Sub County,Mombasa County
OjKfyArZa2J,11434,Jocham Hospital,5,Mjambere Ward,Kisauni Sub County,Mombasa County
c9DvEBPqmNY,11468,Kiembeni Community Hospital,5,Bamburi Ward,Kisauni Sub County,Mombasa County
PJ8zrVDzBVA,11519,Light For Christ Hospital,5,Tononoka Ward,Mvita Sub County,Mombasa County
jTY37uG4jRF,11643,Mombasa Hospital,5,Mji Wa Kale/Makadara Ward,Mvita Sub County,Mombasa County
s6mnfBaYCYX,11709,New Nyali Paeds Hospital,5,Ziwa La Ng'ombe Ward,Nyali Sub County,Mombasa County
wgeumTY9aFJ,16543,Nyali Children Hospital,5,Ziwa La Ng'ombe Ward,Nyali Sub County,Mombasa County
f61RWaRWCfA,11734,Pandya Memorial Hospital,5,Shimanzi/Ganjoni Ward,Mvita Sub County,Mombasa County
k3EjrDfQYcD,13321,Dambas Health Centre,5,Sarman Ward,Tarbaj Sub County,Wajir County
cwqaBs5HUK2,13325,Dasheq Dispensary,5,Tarbaj Ward,Tarbaj Sub County,Wajir County
LHo6zHAqDkk,13332,Elben Dispensary,5,Elben Ward,Tarbaj Sub County,Wajir County
dijmiPZOj6k,13363,Highway Clinic (Wajir East),5,Barwago Ward,Wajir East Sub County,Wajir County
RB5LtmPbef6,13364,Hodhan Dispensary,5,Township Ward,Wajir East Sub County,Wajir County
Ekufy1GQDI1,16793,Hungai Dispensary,5,Wargadud Ward,Tarbaj Sub County,Wajir County
wX3WJ1Vt3eo,13380,Khorof Harar Sub-District Hospital,5,Khorof/Harar Ward,Wajir East Sub County,Wajir County
VFQjkH4BQck,13389,Kutulo Health Centre (Wajir East),5,Wargadud Ward,Tarbaj Sub County,Wajir County
BKbLe3kKT4F,13391,Lafaley Dispensary,5,Tarbaj Ward,Tarbaj Sub County,Wajir County
cEply1DtjVp,13395,Liban Pharmacy,5,Khorof/Harar Ward,Wajir East Sub County,Wajir County
X3m67s9fYES,10539,Kiambu County Referal Hospital,5,Township Ward,Kiambu Town Sub County,Kiambu County
nIwdqfibnPl,13404,Mansa Health Centre,5,Elben Ward,Tarbaj Sub County,Wajir County
cQa0PvCvbxM,14224,Bahati District Hospital,5,Bahati Ward,Nakuru North Sub County,Nakuru County
x2ByD5QP18B,14424,Dundori Health Centre,5,Dundori Ward,Nakuru North Sub County,Nakuru County
eRPHPaOmHQp,14478,Esther Memorial Nursing Home,5,Kiamaina Ward,Nakuru North Sub County,Nakuru County
OFIPjazN821,14572,Ime (AIC) Health Centre,5,Kabazi Ward,Subukia Sub County,Nakuru County
ciJFdty24Uw,14610,Kabatini Health Centre,5,Kabatini Ward,Nakuru North Sub County,Nakuru County
kjaG0y8s2NK,14611,Kabazi Sub County Hospital,5,Kabazi Ward,Subukia Sub County,Nakuru County
SCNrVS57GNa,15628,St Anthony Health Centre,5,Kiamaina Ward,Nakuru North Sub County,Nakuru County
ZCzDxg4p1bd,15643,St John Cottage Health Centre,5,Bahati Ward,Nakuru North Sub County,Nakuru County
v0GRG4yvnRW,15678,Subukia Sub County Hospital,5,Subukia Ward,Subukia Sub County,Nakuru County
ntFlGCG7dUY,15778,Wesley Health Centre,5,Lanet/Umoja Ward,Nakuru North Sub County,Nakuru County
hHFDDKwv5UN,14223,Bahati Dispensary,5,Bahati Ward,Nakuru North Sub County,Nakuru County
jmP5zv9u3wu,16292,Mansa Nomadic Clinic,5,Sarman Ward,Tarbaj Sub County,Wajir County
umHmiQaz6p6,,Medi -Touch Clinic,5,Khorof/Harar Ward,Wajir East Sub County,Wajir County
ok4OvWPcFP6,13280,Najah Medical Clinic,5,Khorof/Harar Ward,Wajir East Sub County,Wajir County
Wn7AS98F5uq,13415,Orahey Medical Clinic,5,Khorof/Harar Ward,Wajir East Sub County,Wajir County
Kp9FyqoJpgN,16291,Port Health Dispensary (Wajir East),5,Wagberi Ward,Wajir East Sub County,Wajir County
tQCWzocd2rN,13425,Riba Dispensary,5,Khorof/Harar Ward,Wajir East Sub County,Wajir County
bmAakxq3qDw,13436,Sarman Dispensary,5,Sarman Ward,Tarbaj Sub County,Wajir County
MslTHPhWjdt,13450,Wagberi Dispensary,5,Wagberi Ward,Wajir East Sub County,Wajir County
btVAdFK4yDp,13451,Wajir Bor Health Centre,5,Khorof/Harar Ward,Wajir East Sub County,Wajir County
R5Orw0Vtbxq,13452,Wajir County Referral Hospital,5,Wagberi Ward,Wajir East Sub County,Wajir County
M4hBq6jXYVg,13266,Adadijolle Dispensary,5,Bute Ward,Wajir North Sub County,Wajir County
fwUKH0ErhkU,13272,Ajawa Health Centre,5,Danaba Ward,Wajir North Sub County,Wajir County
CgVjzVlFpGK,13304,Batalu Dispensary,5,Batalu Ward,Wajir North Sub County,Wajir County
K3pu4wtucy4,13312,Buna Sub-District Hospital,5,Batalu Ward,Wajir North Sub County,Wajir County
bpHMT3MOjaO,13314,Bute District Hospital,5,Bute Ward,Wajir North Sub County,Wajir County
Hc9THCwSYcM,13322,Danaba Health Centre,5,Danaba Ward,Wajir North Sub County,Wajir County
XNMlwPFTe1J,13330,Dugo Health Centre,5,Godoma Ward,Wajir North Sub County,Wajir County
sQSVjX6mHKl,13351,Godoma Health Centre (Nep),5,Godoma Ward,Wajir North Sub County,Wajir County
dFc5sVNIz0Q,13291,Arbajahan Health Centre,5,Arbajahan Ward,Wajir West Sub County,Wajir County
zaLUxZLTjYC,13355,Gurar Health Centre,5,Gurar Ward,Wajir North Sub County,Wajir County
oPubwxbIPcv,13371,Ingirir Dispensary,5,Malkagufu Ward,Wajir North Sub County,Wajir County
j9xUbguNYOF,13372,Iresteno Dispensary,5,Gurar Ward,Wajir North Sub County,Wajir County
WEsZ0JpLWHA,13384,Korondille Health Centre,5,Korondile Ward,Wajir North Sub County,Wajir County
N1esU27uHON,13400,Malkagufu Dispensary,5,Malkagufu Ward,Wajir North Sub County,Wajir County
lnQN0iiGim7,13416,Ogorji Dispensary,5,Bute Ward,Wajir North Sub County,Wajir County
U1RxOBMfKfE,13421,Qudama Dispensary,5,Danaba Ward,Wajir North Sub County,Wajir County
NGfAsUmXeUV,13293,Argane Dispensary,5,Ibrahim Ure Ward,Wajir South Sub County,Wajir County
ahagb4aiyNQ,13306,Biyamadhow Health Centre,5,Benane Ward,Wajir South Sub County,Wajir County
okFLmlqrJr7,13313,Burder Health Centre,5,Burder Ward,Wajir South Sub County,Wajir County
hHzD8hDl39Y,13317,Dadajabula Sub District Hospital,5,Dadaja Bulla Ward,Wajir South Sub County,Wajir County
XdMJQuGitWA,17006,Dagahley Dispensary,5,Benane Ward,Wajir South Sub County,Wajir County
R6OvNgtymXw,13475,Amatierio Health Centre,5,Kiabonyoru Ward,Borabu Sub County,Nyamira County
wvzZZaYO0Fm,13543,Embonga Health Centre,5,Bogichora Ward,Nyamira Sub County,Nyamira County
d9MqCk2B3Gs,13551,Etono Health Centre,5,Bomwagamo Ward,Nyamira North Sub County,Nyamira County
BB8Fv5gv7SE,13628,Itibo Mission Health Centre,5,Itibo Ward,Nyamira North Sub County,Nyamira County
WD9UOguVU4g,13328,Diff Health Centre,5,Diif Ward,Wajir South Sub County,Wajir County
d0fU2mM9Ajw,13329,Dilmanyaley Health Centre,5,Habasswein Ward,Wajir South Sub County,Wajir County
BMjkM5uKh41,13387,Kursin Health Centre,5,Lagboghoi South Ward,Wajir South Sub County,Wajir County
CE8Ee3GngKf,13394,Leheley Sub District Hospital,5,Lagboghoi South Ward,Wajir South Sub County,Wajir County
umFiBmsk8gg,13409,Meri Health Centre,5,Habasswein Ward,Wajir South Sub County,Wajir County
aMlqcnGylwZ,13429,Sabuli Nomadic Dispensary,5,Benane Ward,Wajir South Sub County,Wajir County
vNfNkU7kh9b,13435,Sarif Health Centre,5,Benane Ward,Wajir South Sub County,Wajir County
Ya8HkTriZCR,13267,Ademasajida Dispensary,5,Ademasajide Ward,Wajir West Sub County,Wajir County
hoKWiidY2Ao,16286,Arbajahan Nomadic Mobile Clinic,5,Ademasajide Ward,Wajir West Sub County,Wajir County
TC19Uo6j8UO,13295,Athibohol Dispensary,5,Hadado/Athibohol Ward,Wajir West Sub County,Wajir County
e4qufcaiy1w,13303,Basir Dispensary,5,Lakoley South/Basir Ward,Eldas Sub County,Wajir County
njnxDUTR6SJ,13333,Eldas Health Centre,5,Eldas Ward,Eldas Sub County,Wajir County
c2tD448Pa2f,13343,Ganyure Dispensary,5,Ganyure/Wagalla Ward,Wajir West Sub County,Wajir County
gFqtEKN9rtj,13347,Garseqoftu Dispensary,5,Arbajahan Ward,Wajir West Sub County,Wajir County
UcQFUPY1Lnd,13358,Hadado Health Centre,5,Hadado/Athibohol Ward,Wajir West Sub County,Wajir County
TQxXiq5zumU,17463,Lagbogol Dispensary,5,Hadado/Athibohol Ward,Wajir West Sub County,Wajir County
JbCL7yTnNPi,13437,Shanta Abaq Dispensary (Wajir West),5,Ganyure/Wagalla Ward,Wajir West Sub County,Wajir County
AOpLUrJHaZ0,13449,Wagalla Health Centre,5,Ganyure/Wagalla Ward,Wajir West Sub County,Wajir County
AwVQ3uJftlj,17352,Barnet Memorial Hospital,5,Kabarnet Ward,Baringo Central Sub County,Baringo County
pTlrkLDOyAx,14246,Bekibon Dispensary,5,Marigat Ward,Marigat Sub County,Baringo County
DMF5wWYxVHg,14269,Borrowonin Dispensary,5,Kapropita Ward,Baringo Central Sub County,Baringo County
Yh9TiSUTbrT,14352,Cheplambus Dispensary,5,Tenges Ward,Baringo Central Sub County,Baringo County
NcCkDlIqJuM,14607,Baringo County Referral Hospital,5,Kabarnet Ward,Baringo Central Sub County,Baringo County
oW3SkSEMcvL,14608,Kabarnet High School Dispensary,5,Kabarnet Ward,Baringo Central Sub County,Baringo County
MMyjIyiY3E9,14677,Kampi Samaki Health Centre,5,Iichamus Ward,Marigat Sub County,Baringo County
bHFuoTfIWkc,14702,Kapindasim Dispensary,5,Mukutani Ward,Marigat Sub County,Baringo County
FQn9uxMgroc,14710,Kapkelelwa Dispensary,5,Kapropita Ward,Baringo Central Sub County,Baringo County
HAqSsMMvliD,14723,Kapkole Dispensary,5,Kabarnet Ward,Baringo Central Sub County,Baringo County
geSMiYmY8Go,14729,Kapkuei Dispensary,5,Marigat Ward,Marigat Sub County,Baringo County
EyxTBFv9eYO,14732,Kapkures Dispensary (Baringo),5,Marigat Ward,Marigat Sub County,Baringo County
JiUDQUJPI8Z,14735,Kaplel Dispensary,5,Sacho Ward,Baringo Central Sub County,Baringo County
mXka8EGlJtk,14775,Kaptorokwa Dispensary,5,Ewalel/Chapchap Ward,Baringo Central Sub County,Baringo County
gB1xXLsxDuE,14784,Kaptimbor Dispensary,5,Kabarnet Ward,Baringo Central Sub County,Baringo County
NJJ6xYVhNy6,14809,Kasiela Dispensary,5,Mochongoi Ward,Marigat Sub County,Baringo County
uFkkpCAauQz,14811,Kasitet Dispensary,5,Kapropita Ward,Baringo Central Sub County,Baringo County
HMVL4meC7C6,14851,Kibingor Dispensary,5,Marigat Ward,Marigat Sub County,Baringo County
BZ7HdJQhFP9,14855,Kiboino Dispensary,5,Kabarnet Ward,Baringo Central Sub County,Baringo County
Dalv39I1sBS,14867,Kimalel Health Centre,5,Marigat Ward,Marigat Sub County,Baringo County
Tg6EMD8Y2zU,14907,Kipsacho Dispensary,5,Sacho Ward,Baringo Central Sub County,Baringo County
biHq0Ii9Gyb,14923,Kiptagich Health Centre,5,Sacho Ward,Baringo Central Sub County,Baringo County
TdZFcglGpRk,14941,Kiserian Dispensary,5,Mukutani Ward,Marigat Sub County,Baringo County
NLLNvgHzXhF,14944,Kisok Dispensary,5,Kapropita Ward,Baringo Central Sub County,Baringo County
RfOAhyOQqn4,14953,Kituro Health Centre,5,Ewalel/Chapchap Ward,Baringo Central Sub County,Baringo County
NMtE7XRIFzo,14976,Kokwa Dispensary,5,Iichamus Ward,Marigat Sub County,Baringo County
pO2Rz0XVQzP,14990,Koriema Dispensary,5,Marigat Ward,Marigat Sub County,Baringo County
