orgunitlevel1_pos,orgunitlevel2_pos,orgunitlevel3_pos,orgunitlevel4_pos,orgunitlevel5_pos,organisationunitid,organisationunitname_pos,organisationunitcode_pos,dataid_pos,dataname_pos,datacode_pos,Total_pos,orgunitlevel1_tst,orgunitlevel2_tst,orgunitlevel3_tst,orgunitlevel4_tst,orgunitlevel5_tst,organisationunitname_tst,organisationunitcode_tst,organisationunitdescription,dataid_tst,dataname_tst,datacode_tst,Total_tst,difference
Kenya,Nairobi County,Makadara Sub County,Harambee Ward,Jamaa Mission Hospital,FvG8gxqqOvf,Jamaa Mission Hospital,12984,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,9,Kenya,Nairobi County,Makadara Sub County,Harambee Ward,Jamaa Mission Hospital,Jamaa Mission Hospital,12984,,XiRbc0DSMOH,MOH 731 Tested_15-19 (M) HV01-04,Y18_HV01-04,3,-6
Kenya,Nairobi County,Makadara Sub County,Harambee Ward,Jamaa Mission Hospital,FvG8gxqqOvf,Jamaa Mission Hospital,12984,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,9,Kenya,Nairobi County,Makadara Sub County,Harambee Ward,Jamaa Mission Hospital,Jamaa Mission Hospital,12984,,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,Y18_HV01-05,8,-1
Kenya,Nairobi County,Makadara Sub County,Harambee Ward,Jamaa Mission Hospital,FvG8gxqqOvf,Jamaa Mission Hospital,12984,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,9,Kenya,Nairobi County,Makadara Sub County,Harambee Ward,Jamaa Mission Hospital,Jamaa Mission Hospital,12984,,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,Y18_HV01-06,6,-3
Kenya,Embu County,Mwea Sub County,Mwea Ward,Karaba Dispensary (Mbeere),FxvrbDCLseH,Karaba Dispensary (Mbeere),12193,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,2,Kenya,Embu County,Mwea Sub County,Mwea Ward,Karaba Dispensary (Mbeere),Karaba Dispensary (Mbeere),12193,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,1,-1
Kenya,Kisumu County,Kisumu East Sub County,Kajulu Ward,Got Nyabondo Health Centre,FxwJAofV4uL,Got Nyabondo Health Centre,13591,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,2,Kenya,Kisumu County,Kisumu East Sub County,Kajulu Ward,Got Nyabondo Health Centre,Got Nyabondo Health Centre,13591,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,1,-1
Kenya,Kisumu County,Kisumu East Sub County,Kajulu Ward,Got Nyabondo Health Centre,FxwJAofV4uL,Got Nyabondo Health Centre,13591,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,5,Kenya,Kisumu County,Kisumu East Sub County,Kajulu Ward,Got Nyabondo Health Centre,Got Nyabondo Health Centre,13591,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,1,-4
Kenya,Kisumu County,Kisumu East Sub County,Kajulu Ward,Got Nyabondo Health Centre,FxwJAofV4uL,Got Nyabondo Health Centre,13591,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,3,Kenya,Kisumu County,Kisumu East Sub County,Kajulu Ward,Got Nyabondo Health Centre,Got Nyabondo Health Centre,13591,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,1,-2
Kenya,Nakuru County,Nakuru West Sub County,London Ward,Prison Dispensary,FyjYtKZUM2s,Prison Dispensary,15470,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,6,Kenya,Nakuru County,Nakuru West Sub County,London Ward,Prison Dispensary,Prison Dispensary,15470,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,1,-5
Kenya,Nakuru County,Nakuru West Sub County,London Ward,Prison Dispensary,FyjYtKZUM2s,Prison Dispensary,15470,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,6,Kenya,Nakuru County,Nakuru West Sub County,London Ward,Prison Dispensary,Prison Dispensary,15470,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,1,-5
Kenya,Nakuru County,Nakuru West Sub County,London Ward,Prison Dispensary,FyjYtKZUM2s,Prison Dispensary,15470,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,15,Kenya,Nakuru County,Nakuru West Sub County,London Ward,Prison Dispensary,Prison Dispensary,15470,,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,Y18_HV01-01,11,-4
Kenya,Nakuru County,Nakuru West Sub County,London Ward,Prison Dispensary,FyjYtKZUM2s,Prison Dispensary,15470,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,15,Kenya,Nakuru County,Nakuru West Sub County,London Ward,Prison Dispensary,Prison Dispensary,15470,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,1,-14
Kenya,Nakuru County,Nakuru West Sub County,London Ward,Prison Dispensary,FyjYtKZUM2s,Prison Dispensary,15470,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,15,Kenya,Nakuru County,Nakuru West Sub County,London Ward,Prison Dispensary,Prison Dispensary,15470,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,1,-14
Kenya,Nairobi County,Roysambu Sub County,Roysambu Ward,Marurui Dispensary,FzCzyHnlX47,Marurui Dispensary,13071,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,17,Kenya,Nairobi County,Roysambu Sub County,Roysambu Ward,Marurui Dispensary,Marurui Dispensary,13071,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,4,-13
Kenya,Nairobi County,Roysambu Sub County,Roysambu Ward,Marurui Dispensary,FzCzyHnlX47,Marurui Dispensary,13071,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,17,Kenya,Nairobi County,Roysambu Sub County,Roysambu Ward,Marurui Dispensary,Marurui Dispensary,13071,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,7,-10
Kenya,Nairobi County,Roysambu Sub County,Roysambu Ward,Marurui Dispensary,FzCzyHnlX47,Marurui Dispensary,13071,oCFXmpol7D8,MOH 731 Positive_20-24(F) HV01-13,Y22_HV01-13,17,Kenya,Nairobi County,Roysambu Sub County,Roysambu Ward,Marurui Dispensary,Marurui Dispensary,13071,,XiRbc0DSMOH,MOH 731 Tested_15-19 (M) HV01-04,Y18_HV01-04,10,-7
Kenya,Nairobi County,Roysambu Sub County,Roysambu Ward,Marurui Dispensary,FzCzyHnlX47,Marurui Dispensary,13071,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,24,Kenya,Nairobi County,Roysambu Sub County,Roysambu Ward,Marurui Dispensary,Marurui Dispensary,13071,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,4,-20
Kenya,Nairobi County,Roysambu Sub County,Roysambu Ward,Marurui Dispensary,FzCzyHnlX47,Marurui Dispensary,13071,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,24,Kenya,Nairobi County,Roysambu Sub County,Roysambu Ward,Marurui Dispensary,Marurui Dispensary,13071,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,7,-17
Kenya,Nairobi County,Roysambu Sub County,Roysambu Ward,Marurui Dispensary,FzCzyHnlX47,Marurui Dispensary,13071,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,24,Kenya,Nairobi County,Roysambu Sub County,Roysambu Ward,Marurui Dispensary,Marurui Dispensary,13071,,XiRbc0DSMOH,MOH 731 Tested_15-19 (M) HV01-04,Y18_HV01-04,10,-14
Kenya,Nairobi County,Roysambu Sub County,Roysambu Ward,Marurui Dispensary,FzCzyHnlX47,Marurui Dispensary,13071,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,8,Kenya,Nairobi County,Roysambu Sub County,Roysambu Ward,Marurui Dispensary,Marurui Dispensary,13071,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,4,-4
Kenya,Nairobi County,Roysambu Sub County,Roysambu Ward,Marurui Dispensary,FzCzyHnlX47,Marurui Dispensary,13071,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,8,Kenya,Nairobi County,Roysambu Sub County,Roysambu Ward,Marurui Dispensary,Marurui Dispensary,13071,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,7,-1
Kenya,Muranga County,Gatanga Sub County,Kihumbu-ini Ward,Kihumbu-Ini Community Dispensary,FzcHzyclcGl,Kihumbu-Ini Community Dispensary,10598,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,2,Kenya,Muranga County,Gatanga Sub County,Kihumbu-ini Ward,Kihumbu-Ini Community Dispensary,Kihumbu-Ini Community Dispensary,10598,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,1,-1
Kenya,Meru County,Imenti North Sub County,Municipality Ward,Family Care Medical Centre (Meru),Fzwvhn805YI,Family Care Medical Centre (Meru),12015,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,2,Kenya,Meru County,Imenti North Sub County,Municipality Ward,Family Care Medical Centre (Meru),Family Care Medical Centre (Meru),12015,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,1,-1
Kenya,Migori County,Rongo Sub County,Central Kamagambo Ward,Royal Medical Hospital and Maternity Home Limited,G2SApeuVqIS,Royal Medical Hospital and Maternity Home Limited,14061,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,26,Kenya,Migori County,Rongo Sub County,Central Kamagambo Ward,Royal Medical Hospital and Maternity Home Limited,Royal Medical Hospital and Maternity Home Limited,14061,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,19,-7
Kenya,Mombasa County,Jomvu Sub County,Mikindani Ward,Latulla Medical Centre,G3TVfnJaJ3t,Latulla Medical Centre,11516,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,5,Kenya,Mombasa County,Jomvu Sub County,Mikindani Ward,Latulla Medical Centre,Latulla Medical Centre,11516,,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,Y18_HV01-01,4,-1
Kenya,Mombasa County,Jomvu Sub County,Mikindani Ward,Latulla Medical Centre,G3TVfnJaJ3t,Latulla Medical Centre,11516,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,5,Kenya,Mombasa County,Jomvu Sub County,Mikindani Ward,Latulla Medical Centre,Latulla Medical Centre,11516,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,1,-4
Kenya,Mombasa County,Jomvu Sub County,Mikindani Ward,Latulla Medical Centre,G3TVfnJaJ3t,Latulla Medical Centre,11516,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,5,Kenya,Mombasa County,Jomvu Sub County,Mikindani Ward,Latulla Medical Centre,Latulla Medical Centre,11516,,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,Y18_HV01-05,4,-1
Kenya,Mombasa County,Jomvu Sub County,Mikindani Ward,Latulla Medical Centre,G3TVfnJaJ3t,Latulla Medical Centre,11516,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,5,Kenya,Mombasa County,Jomvu Sub County,Mikindani Ward,Latulla Medical Centre,Latulla Medical Centre,11516,,pkShOkgNQt2,MOH 731 Tested_20-24(M) HV01-06,Y18_HV01-06,4,-1
Kenya,Mombasa County,Jomvu Sub County,Mikindani Ward,Latulla Medical Centre,G3TVfnJaJ3t,Latulla Medical Centre,11516,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,3,Kenya,Mombasa County,Jomvu Sub County,Mikindani Ward,Latulla Medical Centre,Latulla Medical Centre,11516,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,1,-2
Kenya,Trans Nzoia County,Endebess Sub County,Endebess Ward,Cheptantan Dispensary,G4TlNtgrGP9,Cheptantan Dispensary,19750,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,4,Kenya,Trans Nzoia County,Endebess Sub County,Endebess Ward,Cheptantan Dispensary,Cheptantan Dispensary,19750,,OePJt8CcZ0d,MOH 731 Tested_1-9 HV01-01,Y18_HV01-01,2,-2
Kenya,Trans Nzoia County,Endebess Sub County,Endebess Ward,Cheptantan Dispensary,G4TlNtgrGP9,Cheptantan Dispensary,19750,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,4,Kenya,Trans Nzoia County,Endebess Sub County,Endebess Ward,Cheptantan Dispensary,Cheptantan Dispensary,19750,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,2,-2
Kenya,Busia County,Bunyala Sub County,Bunyala Central Ward,Mukhobola Health Centre,G4fYKBYErXO,Mukhobola Health Centre,16029,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,15,Kenya,Busia County,Bunyala Sub County,Bunyala Central Ward,Mukhobola Health Centre,Mukhobola Health Centre,16029,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,3,-12
Kenya,Busia County,Bunyala Sub County,Bunyala Central Ward,Mukhobola Health Centre,G4fYKBYErXO,Mukhobola Health Centre,16029,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,15,Kenya,Busia County,Bunyala Sub County,Bunyala Central Ward,Mukhobola Health Centre,Mukhobola Health Centre,16029,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,10,-5
Kenya,Busia County,Bunyala Sub County,Bunyala Central Ward,Mukhobola Health Centre,G4fYKBYErXO,Mukhobola Health Centre,16029,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,9,Kenya,Busia County,Bunyala Sub County,Bunyala Central Ward,Mukhobola Health Centre,Mukhobola Health Centre,16029,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,3,-6
Kenya,Machakos County,Masinga Sub County,Kivaa Ward,Kithyoko Health Centre,G5ftbR0paKv,Kithyoko Health Centre,12362,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,21,Kenya,Machakos County,Masinga Sub County,Kivaa Ward,Kithyoko Health Centre,Kithyoko Health Centre,12362,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,11,-10
Kenya,Machakos County,Masinga Sub County,Kivaa Ward,Kithyoko Health Centre,G5ftbR0paKv,Kithyoko Health Centre,12362,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,13,Kenya,Machakos County,Masinga Sub County,Kivaa Ward,Kithyoko Health Centre,Kithyoko Health Centre,12362,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,11,-2
Kenya,Busia County,Samia Sub County,Namboboto-nambuku Ward,Namboboto Dispensary,G8avY4Gzra8,Namboboto Dispensary,16067,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,9,Kenya,Busia County,Samia Sub County,Namboboto-nambuku Ward,Namboboto Dispensary,Namboboto Dispensary,16067,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,5,-4
Kenya,Busia County,Samia Sub County,Namboboto-nambuku Ward,Namboboto Dispensary,G8avY4Gzra8,Namboboto Dispensary,16067,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,9,Kenya,Busia County,Samia Sub County,Namboboto-nambuku Ward,Namboboto Dispensary,Namboboto Dispensary,16067,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,6,-3
Kenya,Busia County,Samia Sub County,Namboboto-nambuku Ward,Namboboto Dispensary,G8avY4Gzra8,Namboboto Dispensary,16067,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,9,Kenya,Busia County,Samia Sub County,Namboboto-nambuku Ward,Namboboto Dispensary,Namboboto Dispensary,16067,,XiRbc0DSMOH,MOH 731 Tested_15-19 (M) HV01-04,Y18_HV01-04,6,-3
Kenya,Busia County,Samia Sub County,Namboboto-nambuku Ward,Namboboto Dispensary,G8avY4Gzra8,Namboboto Dispensary,16067,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,9,Kenya,Busia County,Samia Sub County,Namboboto-nambuku Ward,Namboboto Dispensary,Namboboto Dispensary,16067,,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,Y18_HV01-05,6,-3
Kenya,Makueni County,Makueni Sub County,Kathonzweni Ward,Kathonzweni Health Centre,G9Fbh4fc5zU,Kathonzweni Health Centre,12236,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,8,Kenya,Makueni County,Makueni Sub County,Kathonzweni Ward,Kathonzweni Health Centre,Kathonzweni Health Centre,12236,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,6,-2
Kenya,Makueni County,Makueni Sub County,Kathonzweni Ward,Kathonzweni Health Centre,G9Fbh4fc5zU,Kathonzweni Health Centre,12236,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,8,Kenya,Makueni County,Makueni Sub County,Kathonzweni Ward,Kathonzweni Health Centre,Kathonzweni Health Centre,12236,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,6,-2
Kenya,Nyamira County,Borabu Sub County,Mekenene Ward,Summit Medical Clinic (Chepilat),GCf3d9mHavm,Summit Medical Clinic (Chepilat),23159,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,2,Kenya,Nyamira County,Borabu Sub County,Mekenene Ward,Summit Medical Clinic (Chepilat),Summit Medical Clinic (Chepilat),23159,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,1,-1
Kenya,Embu County,Mbeere South Sub County,Mbeti South Ward,Rwika Dispensary,GCv9teCuS8H,Rwika Dispensary,12722,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,4,Kenya,Embu County,Mbeere South Sub County,Mbeti South Ward,Rwika Dispensary,Rwika Dispensary,12722,,XiRbc0DSMOH,MOH 731 Tested_15-19 (M) HV01-04,Y18_HV01-04,1,-3
Kenya,Embu County,Mbeere South Sub County,Mbeti South Ward,Rwika Dispensary,GCv9teCuS8H,Rwika Dispensary,12722,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,2,Kenya,Embu County,Mbeere South Sub County,Mbeti South Ward,Rwika Dispensary,Rwika Dispensary,12722,,XiRbc0DSMOH,MOH 731 Tested_15-19 (M) HV01-04,Y18_HV01-04,1,-1
Kenya,Nakuru County,Nakuru West Sub County,London Ward,Medicross Hospital,GE6CXhMkNlw,Medicross Hospital,22682,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,2,Kenya,Nakuru County,Nakuru West Sub County,London Ward,Medicross Hospital,Medicross Hospital,22682,hospital,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,1,-1
Kenya,Nakuru County,Naivasha Sub County,Olkaria Ward,Kings Medical Clinic,GIQZCaUyojN,Kings Medical Clinic,17545,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,1,Kenya,Nakuru County,Naivasha Sub County,Olkaria Ward,Kings Medical Clinic,Kings Medical Clinic,17545,,XiRbc0DSMOH,MOH 731 Tested_15-19 (M) HV01-04,Y18_HV01-04,0,-1
Kenya,Nakuru County,Nakuru West Sub County,Kaptembwo Ward,MYK View Point Medical Centre,GIaWWSFc9I6,MYK View Point Medical Centre,23261,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,5,Kenya,Nakuru County,Nakuru West Sub County,Kaptembwo Ward,MYK View Point Medical Centre,MYK View Point Medical Centre,23261,Tanners,XiRbc0DSMOH,MOH 731 Tested_15-19 (M) HV01-04,Y18_HV01-04,2,-3
Kenya,Nakuru County,Nakuru West Sub County,Kaptembwo Ward,MYK View Point Medical Centre,GIaWWSFc9I6,MYK View Point Medical Centre,23261,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,5,Kenya,Nakuru County,Nakuru West Sub County,Kaptembwo Ward,MYK View Point Medical Centre,MYK View Point Medical Centre,23261,Tanners,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,Y18_HV01-05,2,-3
Kenya,Kiambu County,Thika Town Sub County,Hospital Ward,Caritas Community Hospital,GJ2f5Exg30n,Caritas Community Hospital,22054,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,3,Kenya,Kiambu County,Thika Town Sub County,Hospital Ward,Caritas Community Hospital,Caritas Community Hospital,22054,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,2,-1
Kenya,Kiambu County,Thika Town Sub County,Hospital Ward,Caritas Community Hospital,GJ2f5Exg30n,Caritas Community Hospital,22054,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,4,Kenya,Kiambu County,Thika Town Sub County,Hospital Ward,Caritas Community Hospital,Caritas Community Hospital,22054,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,2,-2
Kenya,Kiambu County,Thika Town Sub County,Hospital Ward,Caritas Community Hospital,GJ2f5Exg30n,Caritas Community Hospital,22054,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,4,Kenya,Kiambu County,Thika Town Sub County,Hospital Ward,Caritas Community Hospital,Caritas Community Hospital,22054,,YXJf27jfkvS,MOH 731 Tested_15-19(F) HV01-05,Y18_HV01-05,3,-1
Kenya,Kilifi County,Kilifi North Sub County,Tezo Ward,Ngerenya Dispensary,GJ4Cd9RXMop,Ngerenya Dispensary,11713,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,13,Kenya,Kilifi County,Kilifi North Sub County,Tezo Ward,Ngerenya Dispensary,Ngerenya Dispensary,11713,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,3,-10
Kenya,Kilifi County,Kilifi North Sub County,Tezo Ward,Ngerenya Dispensary,GJ4Cd9RXMop,Ngerenya Dispensary,11713,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,5,Kenya,Kilifi County,Kilifi North Sub County,Tezo Ward,Ngerenya Dispensary,Ngerenya Dispensary,11713,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,3,-2
Kenya,Taita Taveta County,Voi Sub County,Kasigau Ward,Kasigau Rdch,GJda6nR1YiA,Kasigau Rdch,11455,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,8,Kenya,Taita Taveta County,Voi Sub County,Kasigau Ward,Kasigau Rdch,Kasigau Rdch,11455,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,6,-2
Kenya,Taita Taveta County,Voi Sub County,Kasigau Ward,Kasigau Rdch,GJda6nR1YiA,Kasigau Rdch,11455,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,8,Kenya,Taita Taveta County,Voi Sub County,Kasigau Ward,Kasigau Rdch,Kasigau Rdch,11455,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,7,-1
Kenya,Busia County,Teso South Sub County,Amukura West Ward,Akiriamasi Dispensary,GLeVzenn2ab,Akiriamasi Dispensary,21034,F9OR49Lc1aR,MOH 731 Positive_20-24(M) HV01-12,Y18_HV01-22,1,Kenya,Busia County,Teso South Sub County,Amukura West Ward,Akiriamasi Dispensary,Akiriamasi Dispensary,21034,Situated off road from AMUKURA MACHAKUS junction 5 KMs to west next to Akiriamasit primary school,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,0,-1
Kenya,Migori County,Suna West Sub County,Ragana-oruba Ward,Pastor Machage Memorial Hospital,GNwx6r3BZ8O,Pastor Machage Memorial Hospital,14014,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,2,Kenya,Migori County,Suna West Sub County,Ragana-oruba Ward,Pastor Machage Memorial Hospital,Pastor Machage Memorial Hospital,14014,Situated in Suba Central and a private Hospital.,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,1,-1
Kenya,Migori County,Suna West Sub County,Ragana-oruba Ward,Pastor Machage Memorial Hospital,GNwx6r3BZ8O,Pastor Machage Memorial Hospital,14014,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,2,Kenya,Migori County,Suna West Sub County,Ragana-oruba Ward,Pastor Machage Memorial Hospital,Pastor Machage Memorial Hospital,14014,Situated in Suba Central and a private Hospital.,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,1,-1
Kenya,Kericho County,Bureti Sub County,Kapkatet Ward,Kapkatet Sub County Hospital,GOhRziVaDUw,Kapkatet Sub County Hospital,14706,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,68,Kenya,Kericho County,Bureti Sub County,Kapkatet Ward,Kapkatet Sub County Hospital,Kapkatet Sub County Hospital,14706,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,22,-46
Kenya,Kericho County,Bureti Sub County,Kapkatet Ward,Kapkatet Sub County Hospital,GOhRziVaDUw,Kapkatet Sub County Hospital,14706,cBTa1jVzT8f,MOH 731 Positive_25+(F) HV01-15,Y22_HV01-15,68,Kenya,Kericho County,Bureti Sub County,Kapkatet Ward,Kapkatet Sub County Hospital,Kapkatet Sub County Hospital,14706,,gMICOUtzqRb,MOH 731 Tested_10-14(F) HV01-03,Y18_HV01-03,27,-41
Kenya,Kericho County,Bureti Sub County,Kapkatet Ward,Kapkatet Sub County Hospital,GOhRziVaDUw,Kapkatet Sub County Hospital,14706,J4vNm7YEkdj,MOH 731 Positive_25+(M) HV01-14,Y22_HV01-14,47,Kenya,Kericho County,Bureti Sub County,Kapkatet Ward,Kapkatet Sub County Hospital,Kapkatet Sub County Hospital,14706,,lj9QYJqS7bN,MOH 731 Tested_10-14 (M) HV01-02,Y18_HV01-02,22,-25
