organisationunitid,orgunitlevel1_pos,orgunitlevel2_pos,orgunitlevel3_pos,orgunitlevel4_pos,orgunitlevel5_pos,organisationunitname_pos,organisationunitcode_pos,organisationunitdescription_pos,dataid_pos,dataname_pos,datacode_pos,Total_pos,difference
hMaHmkhsdOy,Kenya,Elgeyo Marakwet County,Marakwet East Sub County,Sambirir Ward,Chesoi Sub County Hospital,Chesoi Sub County Hospital,14385,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,371.0
mfEvntdmjUe,Kenya,Kakamega County,Malava Sub County,South Kabras Ward,Chevoso Dispensary,Chevoso Dispensary,15857,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,7.0,275.0
TFTsjlwBeca,Kenya,Siaya County,Rarieda Sub County,North Uyoma Ward,Chianda Dispensary (Rarieda),Chianda Dispensary (Rarieda),18564,Dispensry,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,30.0
cMV2EgW6Tza,Kenya,Kakamega County,Shinyalu Sub County,Isukha South Ward,Chief Milimu Dispensary,Chief Milimu Dispensary,16144,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,7.0,278.0
qNO02IGD3yn,Kenya,Kisumu County,Kisumu East Sub County,Kolwa East Ward,Chiga Dispensary,Chiga Dispensary,13524,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,5.0,171.0
kUsA28Yefik,Kenya,Nairobi County,Kibra Sub County,Woodley/Kenyatta Golf Course Ward,Child Doctor Kenya,Child Doctor Kenya,19504,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,3.0
cDIVKeRATTC,Kenya,Kilifi County,Rabai Sub County,Ruruma Ward,Chilodi CrossFit Health Centre,Chilodi CrossFit Health Centre,23924,Chilodi is about 200 metres away fromJimba primary school,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,117.0
D4qI2X6dXcu,Kenya,Kakamega County,Malava Sub County,Manda-shivanga Ward,Chimoi Dispensary,Chimoi Dispensary,15858,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,89.0
kVVmxGZKCfA,Kenya,Migori County,Kuria East Sub County,Nyabasi West Ward,Chinato Health Centre,Chinato Health Centre,13526,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,266.0
S9Q1bx9tpZz,Kenya,Kakamega County,Malava Sub County,Shirungu-mugai Ward,Chombeli Health Centre,Chombeli Health Centre,15859,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,380.0
Q1cLTOTQ8i7,Kenya,Kisii County,Nyaribari Chache Sub County,Kisii Central Ward,Christamarianne Mission Hospital,Christamarianne Mission Hospital,13527,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,10.0,688.0
hxW3BziXi9a,Kenya,Meru County,Igembe South Sub County,Maua Ward,Christian Community Services Dispensary (Maua),Christian Community Services Dispensary (Maua),11963,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,69.0
sD0C4mSXA4H,Kenya,Tharaka Nithi County,Chuka Sub County,Karingani Ward,Chuka County Refferal Hospital,Chuka County Refferal Hospital,11973,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,972.0
aRWvqnCMOEN,Kenya,Kisumu County,Kisumu West Sub County,North West Kisumu Ward,Chulaimbo County Hospital,Chulaimbo County Hospital,13528,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,11.0,580.0
kHW7YlR4QJy,Kenya,Kitui County,Kitui East Sub County,Nzambani Ward,Chuluni Health Centre,Chuluni Health Centre,11974,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,6.0,209.0
S2nFt5STJyM,Kenya,Homa Bay County,Karachuonyo Sub County,Wang'chieng Ward,Chuowe Health centre,Chuowe Health centre,13529,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,83.0
qZCaWe683G3,Kenya,Bungoma County,Kabuchai Sub County,Kabuchai/Chwele Ward,Chwele Sub County Hospital,Chwele Sub County Hospital,15860,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,19.0,1466.0
jKtNJ4fwzW0,Kenya,Kirinyaga County,Kirinyaga North/Mwea West Sub County,Wamumu Ward,Ciagini Health Centre,Ciagini Health Centre,10096,"VI juction/Karaba road, off Wanguru/Wamumu road",nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,93.0
qlNkkxCbBOY,Kenya,Kiambu County,Kiambaa Sub County,Cianda Ward,Cianda Dispensary,Cianda Dispensary,10097,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,94.0
ZLKeFpFXbAQ,Kenya,Narok County,Narok West Sub County,Mara Ward,Cmf Aitong Health Centre,Cmf Aitong Health Centre,14394,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,300.0
WQBUBXxXVe5,Kenya,Mombasa County,Mvita Sub County,Tononoka Ward,Coast General Teaching and Referral Hospital,Coast General Teaching and Referral Hospital,11289,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,17.0,828.0
kJ5MjZkaoSP,Kenya,Mombasa County,Changamwe Sub County,Chaani Ward,Coast General Teaching and Referral Hospital (Chaani Outreach Centre),Coast General Teaching and Referral Hospital (Chaani Outreach Centre),11274,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,9.0,780.0
wi1we3OlD7A,Kenya,Mombasa County,Kisauni Sub County,Mtopanga Ward,Coast General Teaching and Referral Hospital Vikwatani Outreach Centre,Coast General Teaching and Referral Hospital Vikwatani Outreach Centre,25221,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,9.0,877.0
h90pFNjfJ14,Kenya,Meru County,Imenti North Sub County,Municipality Ward,Consolata Hospital Gitoro,Consolata Hospital Gitoro,12044,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,112.0
amP1kWytNm2,Kenya,Embu County,Runyenjes Sub County,Kyeni North Ward,Consolata Kyeni Hospital,Consolata Kyeni Hospital,12413,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,179.0
Aqw6Dbpsjk6,Kenya,Nyeri County,Nyeri Central Sub County,Kiganjo/Mathari Ward,Consolata Mission Hospital (Mathari),Consolata Mission Hospital (Mathari),10100,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,412.0
fMexRJbQRAw,Kenya,Meru County,Imenti South Sub County,Nkuene Ward,Consolata Mission Hospital (Nkubu),Consolata Mission Hospital (Nkubu),11976,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,702.0
LtGa9hWTpLy,Kenya,Nairobi County,Dagoretti North Sub County,Kilimani Ward,Coptic Hospital,Coptic Hospital,12905,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,9.0,1276.0
izA6A7pqMPN,Kenya,Nairobi County,Makadara Sub County,Viwandani Ward,Coptic Medical Clinic,Coptic Medical Clinic,12904,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,4.0,15.0
oic5beVUm72,Kenya,Vihiga County,Luanda Sub County,Emabungo Ward,Coptic Nursing Home,Coptic Nursing Home,15862,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,323.0
fMMxisqLyA8,Kenya,Meru County,Imenti Central Sub County,Mwangathia Ward,Cottolengo Mission Hospital,Cottolengo Mission Hospital,11977,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,388.0
MBbMKKGM2wv,Kenya,Kilifi County,Kilifi North Sub County,Watamu Ward,Cowdray Dispensary,Cowdray Dispensary,11293,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,109.0
IDDFhT4VRj1,Kenya,Kisumu County,Seme Sub County,Central Seme Ward,Dago Jonyo Dispensary,Dago Jonyo Dispensary,20377,Dispensary,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,39.0
Al6DGyCfZfo,Kenya,Kisumu County,Kisumu West Sub County,Kisumu North Ward,Dago Kokore Health Centre,Dago Kokore Health Centre,22806,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,25.0
NXlTHAroEmk,Kenya,Embu County,Manyatta Sub County,Kirimari Ward,Dallas Dispensary,Dallas Dispensary,11984,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,4.0,605.0
VV18KDaWASs,Kenya,Nakuru County,Rongai Sub County,Soin Ward,Dandelion Medical Centre,Dandelion Medical Centre,23952,dispensary,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,284.0
FXzBJIjcAZ5,Kenya,Nairobi County,Embakasi West Sub County,Mowlem Ward,Dandora (EDARP) Clinic,Dandora (EDARP) Clinic,12911,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,14.0,615.0
zQh2n2JcWtl,Kenya,Nairobi County,Embakasi North Sub County,Dandora Area I Ward,Dandora I Health Centre,Dandora I Health Centre,12913,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,25.0,1552.0
DBROL4dIIzA,Kenya,Nairobi County,Embakasi North Sub County,Dandora Area III Ward,Dandora II Health Centre,Dandora II Health Centre,12912,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,47.0,2166.0
JAJ7YX1wFAr,Kenya,Taita Taveta County,Voi Sub County,Mbololo Ward,David Kayanda Dispensary,David Kayanda Dispensary,11457,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,68.0
WG7O02P8x4T,Kenya,Migori County,Awendo Sub County,West Sakwa Ward,Dede Health Centre,Dede Health Centre,13532,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,8.0,325.0
WRPRluyGpKW,Kenya,Kwale County,Matuga Sub County,Mkongani Ward,Deri dispensary,Deri dispensary,25257,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,115.0
uhuTgMdpGDx,Kenya,Kwale County,Msambweni Sub County,Gambato Bongwe Ward,Diani Health Centre,Diani Health Centre,11304,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,17.0,1386.0
uCHPPTPXtBt,Kenya,Kilifi County,Ganze Sub County,Sokoke Ward,Dida Dispensary,Dida Dispensary,11305,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,173.0
yjW8519Mkn2,Kenya,Siaya County,Gem Sub County,West Gem Ward,Dienya Health Centre,Dienya Health Centre,13533,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,114.0
WP7J5im3gDh,Kenya,Kirinyaga County,Kirinyaga South Sub County,Murinduko Ward,Difathas Health Centre,Difathas Health Centre,10110,Difthas market-off Kimbimbi/Nairobi/Embu highway,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,5.0,325.0
gURZsLIdwLp,Kenya,Marsabit County,Saku Sub County,Sagante/Jaldesa Ward,Dirib Gombo Dispensary,Dirib Gombo Dispensary,11986,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,92.0
LYR8fhhFOaQ,Kenya,Migori County,Nyatike Sub County,North Kadem Ward,Diruma Dispensary,Diruma Dispensary,16268,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,69.0
H2T8SxOU1zP,Kenya,Kisumu County,Kisumu East Sub County,Kajulu Ward,Disciples of Mercy Clinic,Disciples of Mercy Clinic,13534,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,165.0
g8HWDfoqKdZ,Kenya,Nairobi County,Langata Sub County,Mugumo-ini Ward,Dog Unit Dispensary (O P Kenya Police),Dog Unit Dispensary (O P Kenya Police),12919,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,16.0
UErHjkqUiTD,Kenya,Homa Bay County,Rachuonyo South Sub County,West Kasipul Ward,Dol Kodera Health Centre,Dol Kodera Health Centre,24094,Health Centre,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,26.0
iQqQPaktVMP,Kenya,Siaya County,Gem Sub County,East Gem Ward,Dolphil Nursing & Maternity Home,Dolphil Nursing & Maternity Home,13535,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,118.0
l8MVSsObGLy,Kenya,Muranga County,Muranga South Sub County,Makuyu Ward,Don Bosco Catholic Dispensary,Don Bosco Catholic Dispensary,10112,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,39.0
hVTJp5M0cGz,Kenya,Nairobi County,Embakasi East Sub County,Upper Savannah Ward,Donholm (EDARP) Clinic,Donholm (EDARP) Clinic,13220,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,17.0,1028.0
rGgw3l0bHEI,Kenya,Nairobi County,Langata Sub County,Karen Ward,Dreams Center Dispensary,Dreams Center Dispensary,12929,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,28.0
x2ByD5QP18B,Kenya,Nakuru County,Nakuru North Sub County,Dundori Ward,Dundori Health Centre,Dundori Health Centre,14424,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,693.0
iaXccnqMkxs,Kenya,Isiolo County,Garbatulla Sub County,Kinna Ward,Duse Dispensary,Duse Dispensary,20829,Level 1 facility,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,17.0
HWKmcSTRCuv,Kenya,Kilifi County,Ganze Sub County,Sokoke Ward,Dzikunze Dispensary,Dzikunze Dispensary,11359,Kilifi- Matano mane Dzikunze road near Dzikunze shopping centre,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,270.0
y66tzv9tspm,Kenya,Nairobi County,Westlands Sub County,Kangemi Ward,Eagle Health Care,Eagle Health Care,21146,"Medical Clinic  Located at Palace Building 3RD floor OPP Co-op Bank,Kangemi",nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,275.0
OkCML3CEtNi,Kenya,Nairobi County,Kamukunji Sub County,Airbase Ward,Eastleigh Health Centre,Eastleigh Health Centre,12930,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,12.0,1162.0
qS4uqSFF9dW,Kenya,Kilifi County,Malindi Sub County,Malindi Town Ward,Ebenezer Medical Clinic (Malindi),Ebenezer Medical Clinic (Malindi),11362,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,70.0
av9lC2MABdS,Kenya,Bungoma County,Tongaren Sub County,Soysambu/Mitua Ward,Ebenezer Nursing Home,Ebenezer Nursing Home,16761,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,124.0
myj906QbZw3,Kenya,Kisii County,Bomachoge Borabu Sub County,Magenche Ward,Eberege Health Centre,Eberege Health Centre,13536,Level 3,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,240.0
Ky6P5BmX0sQ,Kenya,Kakamega County,Khwisero Sub County,Kisa West Ward,Ebuhala Health Centre,Ebuhala Health Centre,20515,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,108.0
DkaJxv6rD7c,Kenya,Kisii County,South Mugirango Sub County,Moticho Ward,Eburi Dispensary,Eburi Dispensary,16975,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,4.0,77.0
ffIfsLKrhKK,Kenya,Nakuru County,Gilgil Sub County,Mbaruk/Eburu Ward,Eburru Dispensary,Eburru Dispensary,14425,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,118.0
t8pVCEXnij3,Kenya,Vihiga County,Emuhaya Sub County,North East Bunyore Ward,Ebusiratsi Health Centre,Ebusiratsi Health Centre,15866,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,307.0
QiAHGmf0031,Kenya,Vihiga County,Luanda Sub County,Mwibona Ward,Ebusyubi Dispensary,Ebusyubi Dispensary,15867,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,163.0
f1XMflZkA3O,Kenya,Vihiga County,Luanda Sub County,Mwibona Ward,Ebwiranyi Dispensary,Ebwiranyi Dispensary,24884,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,127.0
u0gDQ38iF5S,Kenya,Nairobi County,Mathare Sub County,Huruma Ward,EDARP Huruma Clinic,EDARP Huruma Clinic,12973,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,10.0,702.0
r13EdOxFc92,Kenya,Nairobi County,Embakasi Central Sub County,Komarock Ward,EDARP Komarock Health Centre,EDARP Komarock Health Centre,17719,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,20.0,1078.0
RVQtRwy75Wt,Kenya,Nairobi County,Embakasi East Sub County,Lower Savannah Ward,EDARP Soweto Health Centre,EDARP Soweto Health Centre,13191,Off Masimba Stage Towards Soweto Market,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,14.0,961.0
LKOhxyWkOuw,Kenya,Kisii County,Bomachoge Chache Sub County,Majoge Basi Ward,Egetuki GOK Dispensary,Egetuki GOK Dispensary,19984,NEAR EGETUKI MKT,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,56.0
PqsRn07KCKv,Kenya,Machakos County,Masinga Sub County,Ekalakala Ward,Ekalakala Health Centre,Ekalakala Health Centre,11995,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,394.0
uco8xXZcBc8,Kenya,Vihiga County,Luanda Sub County,Luanda Township Ward,Ekamanji Dispensary,Ekamanji Dispensary,15868,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,35.0
W1S8ml7ActI,Kenya,Kakamega County,Khwisero Sub County,Kisa Central Ward,Ekambuli Health Centre,Ekambuli Health Centre,20673,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,3.0,94.0
hYlQ9bF0BNY,Kenya,Nyamira County,Nyamira North Sub County,Ekerenyo Ward,Ekerenyo Sub-District Hospital,Ekerenyo Sub-District Hospital,13540,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,11.0,813.0
o2cCZrctDcB,Kenya,Kisii County,Bonchari Sub County,Bomorenda Ward,Ekerubo Dispensary,Ekerubo Dispensary,16422,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,153.0
Y2yFkbKm7zR,Kenya,Kisii County,Nyaribari Masaba Sub County,Ichuni Ward,Ekerubo Health Centre (Masaba South),Ekerubo Health Centre (Masaba South),13541,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,56.0
yhwoQXYfogS,Kenya,Bungoma County,Kanduyi Sub County,West Sang'alo Ward,Ekitale Dispensary,Ekitale Dispensary,15869,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,9.0,405.0
KvcLdBE3Qar,Kenya,Vihiga County,Luanda Sub County,Luanda South Ward,Ekwanda Health Centre,Ekwanda Health Centre,15870,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,5.0,321.0
agm4CQgIwuf,Kenya,Nakuru County,Molo Sub County,Elburgon Ward,Elburgon Sub County Hospital,Elburgon Sub County Hospital,14431,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,11.0,1241.0
XcYVma2H5FV,Kenya,Baringo County,Koibatek Sub County,Ravine Ward,Eldama Ravine Sub County Hospital,Eldama Ravine Sub County Hospital,14432,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,9.0,1129.0
bvNdpB9XNs0,Kenya,Uasin Gishu County,Ainabkoi Sub County,Kapsoya Ward,Eldoret Hospital,Eldoret Hospital,14435,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,108.0
BJn7pH9easo,Kenya,Nakuru County,Gilgil Sub County,Elementaita Ward,Elementeita Dispensary,Elementeita Dispensary,16379,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,27.0
nvSVIH9Vnhg,Kenya,Bungoma County,Kanduyi Sub County,Khalaba Ward,Elgon View Medical Cottage,Elgon View Medical Cottage,15871,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,4.0,190.0
JGrtUED7jeq,Kenya,Vihiga County,Luanda Sub County,Emabungo Ward,Eliang'oma Dispensary,Eliang'oma Dispensary,25491,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,31.0
VjDw19Sgkaf,Kenya,Turkana County,Turkana Central Sub County,Kang'atotha Ward,Eliye Springs (AIC) Dispensary,Eliye Springs (AIC) Dispensary,14440,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,7.0,106.0
IPFzzGoJXRV,Kenya,Kajiado County,Kajiado Central Sub County,Matapato South Ward,Eluanata Dispensary,Eluanata Dispensary,21950,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,167.0
iWFObHTUbzT,Kenya,Kakamega County,Mumias East Sub County,East Wanga Ward,Eluche Dispensary,Eluche Dispensary,18361,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,115.0
sKHkoTOfodh,Kenya,Kakamega County,Mumias East Sub County,Lusheya/Lubinu Ward,Elwasambi Dispensary,Elwasambi Dispensary,15873,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,87.0
fVYB9g9ByWU,Kenya,Kakamega County,Lurambi Sub County,Shirere Ward,Elwesero Model Health Centre,Elwesero Model Health Centre,15874,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,13.0,731.0
GIFeW39NUTr,Kenya,Kakamega County,Butere Sub County,Marama West Ward,Emaira Dispensary,Emaira Dispensary,25697,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,33.0
efwHczq9gWX,Kenya,Makueni County,Kibwezi West Sub County,Emali/Mulala Ward,Emali Health Services,Emali Health Services,12467,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,68.0
Lbsm3keaoKp,Kenya,Makueni County,Kibwezi West Sub County,Emali/Mulala Ward,Emali Model Health Centre,Emali Model Health Centre,18260,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,16.0,974.0
h5OdkQ5jKdv,Kenya,Kakamega County,Khwisero Sub County,Kisa East Ward,Emalindi Health Centre,Emalindi Health Centre,17409,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,52.0
dElavXVwO7j,Kenya,Kajiado County,Kajiado East Sub County,Imaroro Ward,Emaroro Dispensary,Emaroro Dispensary,14441,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,37.0
nqYAmS9DORu,Kenya,Narok County,Transmara West Sub County,Kimintet Ward,Emarti Health Centre,Emarti Health Centre,14442,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,196.0
FGkaUMhNlgb,Kenya,Kakamega County,Navakholo Sub County,Ingoste-matiha Ward,Ematiha Dispensary,Ematiha Dispensary,16867,dispensary,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,159.0
RILlb5RVEkC,Kenya,Vihiga County,Emuhaya Sub County,North East Bunyore Ward,Ematsuli Dispensary,Ematsuli Dispensary,15875,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,4.0,120.0
fqT44AXXEda,Kenya,Nairobi County,Embakasi East Sub County,Embakasi Ward,Embakasi Health Centre,Embakasi Health Centre,12935,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,31.0,1903.0
wvzZZaYO0Fm,Kenya,Nyamira County,Nyamira Sub County,Bogichora Ward,Embonga Health Centre,Embonga Health Centre,13543,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,72.0
ubYSAHlGbvb,Kenya,Embu County,Manyatta Sub County,Kirimari Ward,Embu Level 5 Hospital,Embu Level 5 Hospital,12004,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,16.0,1474.0
WrPccSa6unz,Kenya,Kajiado County,Kajiado North Sub County,Oloolua Ward,Embulbul Catholic Dispensary,Embulbul Catholic Dispensary,14445,Dispensary,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,6.0,104.0
ay5PGGqDcSh,Kenya,Uasin Gishu County,Moiben Sub County,Kimumu Ward,Emc Kimumu Dispensary,Emc Kimumu Dispensary,16349,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,5.0,489.0
TeKLIwzizL1,Kenya,Baringo County,Mogotio Sub County,Emining Ward,Emining Health Centre,Emining Health Centre,14446,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,2.0,325.0
H8IRuq63RFl,Kenya,Bungoma County,Webuye East Sub County,Ndivisi Ward,Emmanuel Medical Clinic (Bungoma East),Emmanuel Medical Clinic (Bungoma East),16707,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,4.0,120.0
A2m3Fgwhf2v,Kenya,Nakuru County,Kuresoi South Sub County,Amalo Ward,Emmaus Clinic,Emmaus Clinic,14443,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,1.0,32.0
arDVLu1shRK,Kenya,Vihiga County,Luanda Sub County,Emabungo Ward,Emuhaya Sub County Referral Hospital,Emuhaya Sub County Referral Hospital,15876,,nwXS5vxrrr7,MOH 731 Positive Results_ANC HV02-11,Y18_HV02-11,9.0,571.0
