facility,ward,subcounty,county,MOH_UID,MOH_Indicator_ID,MOH_Indicator_Name,khis_data
Keringet Health Centre,Mnagei Ward,West Pokot Sub County,West Pokot County,eJUE6DjzQZr,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,7
Keringet Health Centre,Mnagei Ward,West Pokot Sub County,West Pokot County,eJUE6DjzQZr,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,3
Keringet Health Centre,Mnagei Ward,West Pokot Sub County,West Pokot County,eJUE6DjzQZr,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,6
Keringet Health Centre,Mnagei Ward,West Pokot Sub County,West Pokot County,eJUE6DjzQZr,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,32
Keringet Health Centre,Mnagei Ward,West Pokot Sub County,West Pokot County,eJUE6DjzQZr,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,6
Keringet Health Centre,Mnagei Ward,West Pokot Sub County,West Pokot County,eJUE6DjzQZr,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,82
Musibiriri Dispensary,Marachi East Ward,Butula Sub County,Busia County,EjykHy5VeYP,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,1
Musibiriri Dispensary,Marachi East Ward,Butula Sub County,Busia County,EjykHy5VeYP,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,6
Musibiriri Dispensary,Marachi East Ward,Butula Sub County,Busia County,EjykHy5VeYP,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,23
Musibiriri Dispensary,Marachi East Ward,Butula Sub County,Busia County,EjykHy5VeYP,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,9
Musibiriri Dispensary,Marachi East Ward,Butula Sub County,Busia County,EjykHy5VeYP,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,55
Sosera Health Centre,Nyamasibi Ward,Nyaribari Masaba Sub County,Kisii County,ejzRh7NgQcY,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,1
Sosera Health Centre,Nyamasibi Ward,Nyaribari Masaba Sub County,Kisii County,ejzRh7NgQcY,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,1
Sosera Health Centre,Nyamasibi Ward,Nyaribari Masaba Sub County,Kisii County,ejzRh7NgQcY,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,1
Sosera Health Centre,Nyamasibi Ward,Nyaribari Masaba Sub County,Kisii County,ejzRh7NgQcY,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,3
Sosera Health Centre,Nyamasibi Ward,Nyaribari Masaba Sub County,Kisii County,ejzRh7NgQcY,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,1
Sosera Health Centre,Nyamasibi Ward,Nyaribari Masaba Sub County,Kisii County,ejzRh7NgQcY,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,22
Sosera Health Centre,Nyamasibi Ward,Nyaribari Masaba Sub County,Kisii County,ejzRh7NgQcY,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,4
Sosera Health Centre,Nyamasibi Ward,Nyaribari Masaba Sub County,Kisii County,ejzRh7NgQcY,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,33
Nyamusi Sub-District Hospital,Bokeira Ward,Nyamira North Sub County,Nyamira County,EKgRy3CAlod,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,20
Nyamusi Sub-District Hospital,Bokeira Ward,Nyamira North Sub County,Nyamira County,EKgRy3CAlod,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,8
Nyamusi Sub-District Hospital,Bokeira Ward,Nyamira North Sub County,Nyamira County,EKgRy3CAlod,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,17
Nyamusi Sub-District Hospital,Bokeira Ward,Nyamira North Sub County,Nyamira County,EKgRy3CAlod,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,6
Nyamusi Sub-District Hospital,Bokeira Ward,Nyamira North Sub County,Nyamira County,EKgRy3CAlod,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,9
Nyamusi Sub-District Hospital,Bokeira Ward,Nyamira North Sub County,Nyamira County,EKgRy3CAlod,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,7
Nyamusi Sub-District Hospital,Bokeira Ward,Nyamira North Sub County,Nyamira County,EKgRy3CAlod,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,154
Nyamusi Sub-District Hospital,Bokeira Ward,Nyamira North Sub County,Nyamira County,EKgRy3CAlod,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,17
Nyamusi Sub-District Hospital,Bokeira Ward,Nyamira North Sub County,Nyamira County,EKgRy3CAlod,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,293
Kivuli Dispensary,Riruta Ward,Dagoretti South Sub County,Nairobi County,ekQxVaIMErv,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,2
Kivuli Dispensary,Riruta Ward,Dagoretti South Sub County,Nairobi County,ekQxVaIMErv,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,2
Kivuli Dispensary,Riruta Ward,Dagoretti South Sub County,Nairobi County,ekQxVaIMErv,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,14
Kivuli Dispensary,Riruta Ward,Dagoretti South Sub County,Nairobi County,ekQxVaIMErv,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,1
Kivuli Dispensary,Riruta Ward,Dagoretti South Sub County,Nairobi County,ekQxVaIMErv,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,2
Kivuli Dispensary,Riruta Ward,Dagoretti South Sub County,Nairobi County,ekQxVaIMErv,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,3
Kivuli Dispensary,Riruta Ward,Dagoretti South Sub County,Nairobi County,ekQxVaIMErv,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,93
Kivuli Dispensary,Riruta Ward,Dagoretti South Sub County,Nairobi County,ekQxVaIMErv,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,2
Kivuli Dispensary,Riruta Ward,Dagoretti South Sub County,Nairobi County,ekQxVaIMErv,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,204
Kuvasali Health Centre,East Kabras Ward,Malava Sub County,Kakamega County,El8fBMbWcrO,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,3
Kuvasali Health Centre,East Kabras Ward,Malava Sub County,Kakamega County,El8fBMbWcrO,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,2
Kuvasali Health Centre,East Kabras Ward,Malava Sub County,Kakamega County,El8fBMbWcrO,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,5
Kuvasali Health Centre,East Kabras Ward,Malava Sub County,Kakamega County,El8fBMbWcrO,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,3
Kuvasali Health Centre,East Kabras Ward,Malava Sub County,Kakamega County,El8fBMbWcrO,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,6
Kuvasali Health Centre,East Kabras Ward,Malava Sub County,Kakamega County,El8fBMbWcrO,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,1
Kuvasali Health Centre,East Kabras Ward,Malava Sub County,Kakamega County,El8fBMbWcrO,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,30
Kuvasali Health Centre,East Kabras Ward,Malava Sub County,Kakamega County,El8fBMbWcrO,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,3
Kuvasali Health Centre,East Kabras Ward,Malava Sub County,Kakamega County,El8fBMbWcrO,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,106
Muthara Sub-District Hospital,Muthara Ward,Tigania East Sub County,Meru County,ELHafKamFIR,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,11
Muthara Sub-District Hospital,Muthara Ward,Tigania East Sub County,Meru County,ELHafKamFIR,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,8
Muthara Sub-District Hospital,Muthara Ward,Tigania East Sub County,Meru County,ELHafKamFIR,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,16
Muthara Sub-District Hospital,Muthara Ward,Tigania East Sub County,Meru County,ELHafKamFIR,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,12
Muthara Sub-District Hospital,Muthara Ward,Tigania East Sub County,Meru County,ELHafKamFIR,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,14
Muthara Sub-District Hospital,Muthara Ward,Tigania East Sub County,Meru County,ELHafKamFIR,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,10
Muthara Sub-District Hospital,Muthara Ward,Tigania East Sub County,Meru County,ELHafKamFIR,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,109
Muthara Sub-District Hospital,Muthara Ward,Tigania East Sub County,Meru County,ELHafKamFIR,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,15
Muthara Sub-District Hospital,Muthara Ward,Tigania East Sub County,Meru County,ELHafKamFIR,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,296
Sirakaru Dispensary,Naitiri/Kabuyefwe Ward,Tongaren Sub County,Bungoma County,ELjpUSFjC7d,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,3
Sirakaru Dispensary,Naitiri/Kabuyefwe Ward,Tongaren Sub County,Bungoma County,ELjpUSFjC7d,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,3
Sirakaru Dispensary,Naitiri/Kabuyefwe Ward,Tongaren Sub County,Bungoma County,ELjpUSFjC7d,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,1
Sirakaru Dispensary,Naitiri/Kabuyefwe Ward,Tongaren Sub County,Bungoma County,ELjpUSFjC7d,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,11
Sirakaru Dispensary,Naitiri/Kabuyefwe Ward,Tongaren Sub County,Bungoma County,ELjpUSFjC7d,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,1
Sirakaru Dispensary,Naitiri/Kabuyefwe Ward,Tongaren Sub County,Bungoma County,ELjpUSFjC7d,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,30
Kigumo Dispensary,Kyeni South Ward,Runyenjes Sub County,Embu County,eM3PnqBIqcR,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,3
Kigumo Dispensary,Kyeni South Ward,Runyenjes Sub County,Embu County,eM3PnqBIqcR,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,1
Kigumo Dispensary,Kyeni South Ward,Runyenjes Sub County,Embu County,eM3PnqBIqcR,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,17
Kigumo Dispensary,Kyeni South Ward,Runyenjes Sub County,Embu County,eM3PnqBIqcR,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,3
Kigumo Dispensary,Kyeni South Ward,Runyenjes Sub County,Embu County,eM3PnqBIqcR,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,37
Rabai Rural Health Demonstration Centre,Rabai/Kisurutini Ward,Rabai Sub County,Kilifi County,eMMojDvhND0,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,6
Rabai Rural Health Demonstration Centre,Rabai/Kisurutini Ward,Rabai Sub County,Kilifi County,eMMojDvhND0,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,3
Rabai Rural Health Demonstration Centre,Rabai/Kisurutini Ward,Rabai Sub County,Kilifi County,eMMojDvhND0,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,10
Rabai Rural Health Demonstration Centre,Rabai/Kisurutini Ward,Rabai Sub County,Kilifi County,eMMojDvhND0,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,14
Rabai Rural Health Demonstration Centre,Rabai/Kisurutini Ward,Rabai Sub County,Kilifi County,eMMojDvhND0,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,9
Rabai Rural Health Demonstration Centre,Rabai/Kisurutini Ward,Rabai Sub County,Kilifi County,eMMojDvhND0,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,4
Rabai Rural Health Demonstration Centre,Rabai/Kisurutini Ward,Rabai Sub County,Kilifi County,eMMojDvhND0,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,94
Rabai Rural Health Demonstration Centre,Rabai/Kisurutini Ward,Rabai Sub County,Kilifi County,eMMojDvhND0,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,20
Rabai Rural Health Demonstration Centre,Rabai/Kisurutini Ward,Rabai Sub County,Kilifi County,eMMojDvhND0,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,312
Mama Lucy Kibaki Hospital (Embakasi),Komarock Ward,Embakasi Central Sub County,Nairobi County,EmMu340uBVZ,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,29
Mama Lucy Kibaki Hospital (Embakasi),Komarock Ward,Embakasi Central Sub County,Nairobi County,EmMu340uBVZ,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,42
Mama Lucy Kibaki Hospital (Embakasi),Komarock Ward,Embakasi Central Sub County,Nairobi County,EmMu340uBVZ,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,126
Mama Lucy Kibaki Hospital (Embakasi),Komarock Ward,Embakasi Central Sub County,Nairobi County,EmMu340uBVZ,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,22
Mama Lucy Kibaki Hospital (Embakasi),Komarock Ward,Embakasi Central Sub County,Nairobi County,EmMu340uBVZ,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,15
Mama Lucy Kibaki Hospital (Embakasi),Komarock Ward,Embakasi Central Sub County,Nairobi County,EmMu340uBVZ,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,16
Mama Lucy Kibaki Hospital (Embakasi),Komarock Ward,Embakasi Central Sub County,Nairobi County,EmMu340uBVZ,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,827
Mama Lucy Kibaki Hospital (Embakasi),Komarock Ward,Embakasi Central Sub County,Nairobi County,EmMu340uBVZ,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,59
Mama Lucy Kibaki Hospital (Embakasi),Komarock Ward,Embakasi Central Sub County,Nairobi County,EmMu340uBVZ,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,1436
Bahati Health Centre,Maringo/Hamza Ward,Makadara Sub County,Nairobi County,emnI9dqORPt,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,6
Bahati Health Centre,Maringo/Hamza Ward,Makadara Sub County,Nairobi County,emnI9dqORPt,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,11
Bahati Health Centre,Maringo/Hamza Ward,Makadara Sub County,Nairobi County,emnI9dqORPt,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,42
Bahati Health Centre,Maringo/Hamza Ward,Makadara Sub County,Nairobi County,emnI9dqORPt,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,1
Bahati Health Centre,Maringo/Hamza Ward,Makadara Sub County,Nairobi County,emnI9dqORPt,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,9
Bahati Health Centre,Maringo/Hamza Ward,Makadara Sub County,Nairobi County,emnI9dqORPt,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,5
Bahati Health Centre,Maringo/Hamza Ward,Makadara Sub County,Nairobi County,emnI9dqORPt,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,196
Bahati Health Centre,Maringo/Hamza Ward,Makadara Sub County,Nairobi County,emnI9dqORPt,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,9
Bahati Health Centre,Maringo/Hamza Ward,Makadara Sub County,Nairobi County,emnI9dqORPt,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,387
Uriri Sub County Hospital,Central Kanyamkago Ward,Uriri Sub County,Migori County,eNAWFykGp3w,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,26
Uriri Sub County Hospital,Central Kanyamkago Ward,Uriri Sub County,Migori County,eNAWFykGp3w,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,8
Uriri Sub County Hospital,Central Kanyamkago Ward,Uriri Sub County,Migori County,eNAWFykGp3w,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,69
Uriri Sub County Hospital,Central Kanyamkago Ward,Uriri Sub County,Migori County,eNAWFykGp3w,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,31
Uriri Sub County Hospital,Central Kanyamkago Ward,Uriri Sub County,Migori County,eNAWFykGp3w,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,30
Uriri Sub County Hospital,Central Kanyamkago Ward,Uriri Sub County,Migori County,eNAWFykGp3w,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,20
Uriri Sub County Hospital,Central Kanyamkago Ward,Uriri Sub County,Migori County,eNAWFykGp3w,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,449
Uriri Sub County Hospital,Central Kanyamkago Ward,Uriri Sub County,Migori County,eNAWFykGp3w,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,42
Uriri Sub County Hospital,Central Kanyamkago Ward,Uriri Sub County,Migori County,eNAWFykGp3w,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,964
Makadara Mercy Sisters Dispensary,Maringo/Hamza Ward,Makadara Sub County,Nairobi County,ENCv690Yryw,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,8
Makadara Mercy Sisters Dispensary,Maringo/Hamza Ward,Makadara Sub County,Nairobi County,ENCv690Yryw,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,5
Makadara Mercy Sisters Dispensary,Maringo/Hamza Ward,Makadara Sub County,Nairobi County,ENCv690Yryw,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,7
Makadara Mercy Sisters Dispensary,Maringo/Hamza Ward,Makadara Sub County,Nairobi County,ENCv690Yryw,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,10
Makadara Mercy Sisters Dispensary,Maringo/Hamza Ward,Makadara Sub County,Nairobi County,ENCv690Yryw,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,8
Makadara Mercy Sisters Dispensary,Maringo/Hamza Ward,Makadara Sub County,Nairobi County,ENCv690Yryw,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,5
Makadara Mercy Sisters Dispensary,Maringo/Hamza Ward,Makadara Sub County,Nairobi County,ENCv690Yryw,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,250
Makadara Mercy Sisters Dispensary,Maringo/Hamza Ward,Makadara Sub County,Nairobi County,ENCv690Yryw,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,11
Makadara Mercy Sisters Dispensary,Maringo/Hamza Ward,Makadara Sub County,Nairobi County,ENCv690Yryw,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,483
Lwanda Awiti Dispensary,Kwabwai Ward,Ndhiwa Sub County,Homa Bay County,enFogPQF7aZ,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,4
Lwanda Awiti Dispensary,Kwabwai Ward,Ndhiwa Sub County,Homa Bay County,enFogPQF7aZ,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,1
Lwanda Awiti Dispensary,Kwabwai Ward,Ndhiwa Sub County,Homa Bay County,enFogPQF7aZ,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,14
Lwanda Awiti Dispensary,Kwabwai Ward,Ndhiwa Sub County,Homa Bay County,enFogPQF7aZ,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,2
Lwanda Awiti Dispensary,Kwabwai Ward,Ndhiwa Sub County,Homa Bay County,enFogPQF7aZ,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,4
Lwanda Awiti Dispensary,Kwabwai Ward,Ndhiwa Sub County,Homa Bay County,enFogPQF7aZ,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,82
Lwanda Awiti Dispensary,Kwabwai Ward,Ndhiwa Sub County,Homa Bay County,enFogPQF7aZ,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,19
Lwanda Awiti Dispensary,Kwabwai Ward,Ndhiwa Sub County,Homa Bay County,enFogPQF7aZ,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,179
Kinanie Health centre,Kinanie Ward,Athi River Sub County,Machakos County,ENlNLYthtQS,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,2
Kinanie Health centre,Kinanie Ward,Athi River Sub County,Machakos County,ENlNLYthtQS,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,1
Kinanie Health centre,Kinanie Ward,Athi River Sub County,Machakos County,ENlNLYthtQS,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,1
Kinanie Health centre,Kinanie Ward,Athi River Sub County,Machakos County,ENlNLYthtQS,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,2
Kinanie Health centre,Kinanie Ward,Athi River Sub County,Machakos County,ENlNLYthtQS,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,1
Kinanie Health centre,Kinanie Ward,Athi River Sub County,Machakos County,ENlNLYthtQS,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,2
Kinanie Health centre,Kinanie Ward,Athi River Sub County,Machakos County,ENlNLYthtQS,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,14
Kinanie Health centre,Kinanie Ward,Athi River Sub County,Machakos County,ENlNLYthtQS,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,2
Kinanie Health centre,Kinanie Ward,Athi River Sub County,Machakos County,ENlNLYthtQS,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,58
Tonga Health Centre,Gwassi North Ward,Suba South Sub County,Homa Bay County,eNZAGD0lqAk,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,2
Tonga Health Centre,Gwassi North Ward,Suba South Sub County,Homa Bay County,eNZAGD0lqAk,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,2
Tonga Health Centre,Gwassi North Ward,Suba South Sub County,Homa Bay County,eNZAGD0lqAk,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,7
Tonga Health Centre,Gwassi North Ward,Suba South Sub County,Homa Bay County,eNZAGD0lqAk,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,4
Tonga Health Centre,Gwassi North Ward,Suba South Sub County,Homa Bay County,eNZAGD0lqAk,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,5
Tonga Health Centre,Gwassi North Ward,Suba South Sub County,Homa Bay County,eNZAGD0lqAk,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,4
Tonga Health Centre,Gwassi North Ward,Suba South Sub County,Homa Bay County,eNZAGD0lqAk,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,55
Tonga Health Centre,Gwassi North Ward,Suba South Sub County,Homa Bay County,eNZAGD0lqAk,SJL4k6Gl53C,MOH 731 On ART_<1 HV03-028,1
Tonga Health Centre,Gwassi North Ward,Suba South Sub County,Homa Bay County,eNZAGD0lqAk,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,8
Tonga Health Centre,Gwassi North Ward,Suba South Sub County,Homa Bay County,eNZAGD0lqAk,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,127
Othoro Health Centre (Rachuonyo),Kabondo East Ward,Kabondo Kasipul Sub County,Homa Bay County,eogI9KAaTj9,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,23
Othoro Health Centre (Rachuonyo),Kabondo East Ward,Kabondo Kasipul Sub County,Homa Bay County,eogI9KAaTj9,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,3
Othoro Health Centre (Rachuonyo),Kabondo East Ward,Kabondo Kasipul Sub County,Homa Bay County,eogI9KAaTj9,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,44
Othoro Health Centre (Rachuonyo),Kabondo East Ward,Kabondo Kasipul Sub County,Homa Bay County,eogI9KAaTj9,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,13
Othoro Health Centre (Rachuonyo),Kabondo East Ward,Kabondo Kasipul Sub County,Homa Bay County,eogI9KAaTj9,Jbu4if6gtDp,MOH 731 On ART_10-14(M) HV03-030,16
Othoro Health Centre (Rachuonyo),Kabondo East Ward,Kabondo Kasipul Sub County,Homa Bay County,eogI9KAaTj9,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,16
Othoro Health Centre (Rachuonyo),Kabondo East Ward,Kabondo Kasipul Sub County,Homa Bay County,eogI9KAaTj9,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,276
Othoro Health Centre (Rachuonyo),Kabondo East Ward,Kabondo Kasipul Sub County,Homa Bay County,eogI9KAaTj9,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,26
Othoro Health Centre (Rachuonyo),Kabondo East Ward,Kabondo Kasipul Sub County,Homa Bay County,eogI9KAaTj9,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,560
Kobos Health Centre,Kapomboi Ward,Kwanza Sub County,Trans Nzoia County,eOljZ3zFCf9,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,2
Kobos Health Centre,Kapomboi Ward,Kwanza Sub County,Trans Nzoia County,eOljZ3zFCf9,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,1
Kobos Health Centre,Kapomboi Ward,Kwanza Sub County,Trans Nzoia County,eOljZ3zFCf9,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,4
Kobos Health Centre,Kapomboi Ward,Kwanza Sub County,Trans Nzoia County,eOljZ3zFCf9,GSEmLUnrvzj,MOH 731 On ART_10-14 (F) HV03-031,2
Kobos Health Centre,Kapomboi Ward,Kwanza Sub County,Trans Nzoia County,eOljZ3zFCf9,oOOnacUi9Jm,MOH 731 On ART_15-19(M) HV03-032,1
Kobos Health Centre,Kapomboi Ward,Kwanza Sub County,Trans Nzoia County,eOljZ3zFCf9,pR7VzBydoj3,MOH 731 On ART_25+(M) HV03-036,9
Kobos Health Centre,Kapomboi Ward,Kwanza Sub County,Trans Nzoia County,eOljZ3zFCf9,wbJOu4h2SSz,MOH 731 On ART_1-9 HV03-029,3
Kobos Health Centre,Kapomboi Ward,Kwanza Sub County,Trans Nzoia County,eOljZ3zFCf9,yNCUlEYkmyA,MOH 731 On ART_25+ (F) HV03-037,32
Likii Dispensary,Nanyuki Ward,Laikipia East Sub County,Laikipia County,EOwZKRgVff8,AQsTt7jtKbt,MOH 731 On ART_15-19 (F) HV03-033,1
Likii Dispensary,Nanyuki Ward,Laikipia East Sub County,Laikipia County,EOwZKRgVff8,e93GKJTHKAX,MOH 731 On ART_20-24(M) HV03-034,1
Likii Dispensary,Nanyuki Ward,Laikipia East Sub County,Laikipia County,EOwZKRgVff8,EhZQp3PTA3C,MOH 731 On ART_20-24 (F) HV03-035,6
